&	and
SIOC	Sishen Iron Ore Company
SIP	Strategic Infrastructure Programme
SIP	Strategic Integrated Project
SIP	Structural Insulated Panels
SIPs	Strategic Integrated Projects
SITA	State Information Technology Agency
SITA	State and Information Technology Authority
SIU	Special Investigating Unit
SIU	Special Investigation Unit
SIU	Special Investigations Unit
SIU	Special Investigative Unit
SKA	Square Kilometre Array
SLA	Service Level Agreement
SLAG	Settlement and Land Acquisition Grant
SLAs	Service Level Agreements
SLCs	Service Level Commitments
SLP	Social and Labour Plan
SLP	Social and Labour Plans
SLPs	Social and Labour Plans
SME	Small Medium Enterprise
SMEs	Small Medium Enterprises
SMEs	Small and Medium Enterprises
SMME	Small Medium and Micro Enterprise
SMME	Small Medium and Micro Enterprises
SMMEs	Small Medium and Micro Enterprises
SMMEs	Small Micro and Medium Enterprises
SMO	System and Market Operator
SMS	Senior Management Service
SMS	Senior Management Services
SMS	Senior Management Structure
SMT	School Management Team
SMT	School Management Teams
SMT	Station Monitoring Tool
SMTs	School Management Teams
SOC	State Owned Companies
SOC	Student Oversight Committee
SOCs	State Owned Companies
SOE	State Owned Enterprise
SOE	State Owned Entity
SOER	State of Environment Report
SOEs	State Owned Enterprises
SOEs	State Owned Entities
SONA	State of the Nation Address
SP	Sign Post
SPAs	Special Pricing Agreements
SPLIT	Special Lenasia Intervention Team
SPLUMA	Spatial Planning Land Use Management Act
SPLs	State Protocol Lounges
SPM	Skills Planning Mechanism
SPV	Solar Photovoltaic Park
SPV	Special Purpose Vehicle
SRC	Student Representative Council
SRPP	Social Responsibility Programmes and Projects
SRSA	Sport and Recreation South Africa
SSA	State Security Agency
SSC	Separated Sector Cyclotron
SSC	Super Sport Car
SSETA	Services Sector Education and Training Authority
SSIR	Services and International Relations
SSMB	Small Scale Mining and Benefician
SSPs	Skills Plans
SSSBC	Safety and Security Sectoral Bargaining Council
SSSETA	Safety and Security Sector Education and Training Authority
STB	Set Top Box
STC	Secondary Tax on Companies
STI	Sexual Transmitted Infections
STIAS	Stellenbosch Institute for Advance Study
STP	Seda Technology Programme
STRIF	Social Technical Rural Infrastructure Facilitation
STW	Sewage Treatment Works
SU	University of Stellenbosch
SWHs	Solar Water Heaters
Sadtu	SA Democratic Teachers Union
Samaf	South African Micro Finance Apex Fund
Samro	Southern African Music Rights Organisation
Samsa	South African Maritime Safety Authority
SanParks	South African National Parks
Sanedi	SA National Energy Development Institute
Sassa	South African Social Security Agency
Scopa	Standing Committee on Public Accounts
Setas	Sector Education and Training Authorities
Sona	State of the Nation Address
Sseta	Services Sector Education and Training Authority
Stats	Statistics
StatsSA	Statistics South Africa
TA	Technical Assistant
TADA	Teenagers Against Drug Abuse
TAGs	Technical Assistance Guidelines
TAU	Transvaal Agricultural Union
TB	Tuberculosis
TBRC	Top Blown Rotary Converter
TCB	Traditional Courts Bill
TCC	Transmissions Control Centre
TCCs	Thuthuzela Care Centres
TCIDP	Textile and Clothing Incentive Development Plan
TCTA	Trans Caledon Tunnel Authority
TDCA	Trade Development and Cooperation Agreement
TDS	Total Dissolved Solids
TE	Transnet Engineering
TEFSA	Tertiary Education Fund of South Africa
TEP	Tourism Enterprise Partnership
TES	Temporary Employment Service
TES	Transformation and Entrepreneurial Scheme
TETA	Transport Education and Training Authority
TEUs	Ten foot Equivalent Units
TEUs	Twenty foot Equivalent Units
TFCA	Trans Frontier Conservation Area
TFR	Transnet Freight Rail
TFTA	Tripartite Free Trade Area
TGCSA	Tourism Grading Council of South Africa
TIA	Technology Innovation Agency
TIC	Transvaal Indian Congress
TICIPS	The International Centre for Innovation Partnerships in Science
TKZN	Tourism KwaZulu Natal
TLCs	Transitional Local Councils
TLGFA	Traditional Leadership and Governance Framework Act
TNG	Technikon Northern Gauteng
TNPA	Transnet National Ports Authority
TNW	Technikon North West
TOP	Termination of Pregnancy
TOP's	Threatened or Protected Species
TOR	Terms of Reference
TP	Technikon Pretoria
TPAS	Teacher Performance Appraisal System
TPF	Third Party Funds
TPF	Transport Pension Fund
TPT	Transnet Port Terminals
TR	Treasury Regulation
TR	Treasury Regulations
TRA	Taiwan Railway Administration
TRA	Temporary Relocation Area
TRACOR	Transkei Agricultural Corporation
TRALAC	Trade Law Centre for Southern Africa
TRAs	Temporary Relocation Areas
TRC	Truth and Reconciliation Commission
TRIPS	Trade Related Aspects of Intellectual Property Rights
TRT	Tactical Response Team
TRUs	Temporary Relocation Units
TSDBF	Transnet Second Defined Benefit Fund
TST	Teacher Support Team
TTNF	Trade Negotiation Forum
TURKPA	Turkic Speaking Countries
TUT	Tshwane University of Technology
TV	Television
TVEP	Thohoyandou Victim Empowerment Programme
TVET	Technical and Vocational Education and Training
TVOB	Television Outside Broadcast
TYIP	Ten Year Innovation Plan
Teta	Transport Education and Training Authority
UC	Universal Coverage
UCDP	United Christian Democratic Party
UCLGA	United Cities and Local Governments of Africa
UCT	University of Cape Town
UCV	United Commuters Voice
UCW	Union Carriage and Wagon
UDF	United Democratic Front
UDM	United Democratic Movement
UDN	Uganda Debt Network
UFH	University of Fort Hare
UFS	University of Free State
UFS	University of the Free State
UI	Unemployment Insurance
UIF	Unemployment Insurance
UIF	Unemployment Insurance Fund
UISP	Upgrading of Informal Settlement Programme
UJ	University of Johannesburg
UKZN	University of KwaZulu Natal
UN	United Nations
UNAoC	United Nations Alliance of Civilizations
UNCAC	United Nations Convention Against Corruption
UNCCD	United Nations Convention to Combat Desertification
UNCRC	United Nations Committee on the Rights of the Child
UNCRPD	United Nations Convention on the Rights of Persons with Disabilities
UNCSD	United Nations Commission on Sustainable Development
UNCTAD	United Nations Conference on Trade and Development
UNDP	United Nations Development Programme
UNESCO	United Nations Education and Scientific Commission
UNFCCC	United Nations Framework Convention on Climate Change
UNHCR	United Nations High Commissioner for Refugees
UNICEF	United Nations Children's Fund
UNISA	University of South Africa
UNISDR	United Nations International Strategy for Disaster Reduction
UNODC	United Nations Office on Drugs and Crime
UNSC	United Nations Security Council
UNWTO	United Nations World Tourism Organisation
UP	University of Pretoria
UPP	Undergraduate Preparedness Programme
UPP	University Preparation Programme
UPPAP	Uganda Participatory Poverty Assessment Project
US	America
US	United States
US	United States of America
US	University of Stellenbosch
USA	America
USA	United States
USA	United States of America
USAASA	Universal Service Access Agency of South Africa
USAASA	Universal Service and Access Agency of South Africa
USAF	Universal Service Access Fund
USAF	Universal Service and Access Fund
USAL	Under Serviced Area Licensees
USDG	Urban Settlement Development Grant
USDG	Urban Settlements Development Grant
UWC	University of Western Cape
UWC	University of the Western Cape
UYF	Umsobomvu Youth Fund
UZ	University of Zululand
V	Five
VAT	Value Added Tax
VAT	Value Added Taxation
VCs	Vice Chancellors
VDP	Voluntary Disclosure Programme
VEOP	Vocational Education Orientation Programme
VEP	Victim Empowerment Programme
VET	Vocational Education and Training
VI	Six
VII	Seven
VIII	Eight
VIP	Ventilated Improved Pit
VIP	Ventilated Pit Latrine
VIP	Ventilation Improved Pit
VLBIN	Very Long Baseline Interferometry Network
VMMC	Voluntary Male Medical Circumcision
VOC	Venue Operational Centre
VOPI	Vegetable and Ornamental Plants Institute
VPO	Vergezocht Plant Oils
VRESAP	Vaal River Eastern Subsystem Augmentation Project
VUT	Vaal University of Technology
WACS	West Africa Cable System
WAN	Wide Area Network
WBE	Workplace Based Exposure
WCO	World Customs Organisation
WCPP	Western Cape Provincial Parliament
WFFP	Working for Fisheries Programme
WHS	World Heritage Sites
WIL	Work Integrated Learning
WISN	Workload Indicators of Staffing Need
WOSA	Wines of South Africa
WPQR	Welding Procedure Qualification Record
WRC	Water Research Commission
WSA	Water Service Authorities
WSA	Water Service Authority
WSA	Water Services Authority
WSAs	Water Service Authorities
WSDP	Water Services Development Plan
WSPs	Workplace Skills Plans
WSSD	World Summit of Sustainable Development
WSU	Walter Sisulu University
WTE	Water Trading Entity
WTO	World Trade Organization
WTP	Willingness to Pay
WTW	Water Treatment Works
WWMP	Workers World Media Productions
WWTG	World Wine Trade Group
WfGD	Water for Growth and Development
Wits	Witwatersrand
X	Ten
XI	Eleven
XII	Twelve
XIII	Thirteen
XIV	Fourteen
XV	Fifteen
XVI	Sixteen
XVII	Seventeen
XVIII	Eighteen
XIX	Nineteen
XX	Twenty
XXI	Twenty One
XRD	char_latin_small_letter_x Ray Diffractometer
XRF	char_latin_small_letter_x Ray Fluorescence
YDI	Youth Development Institute
YTD	Year to Date
bps	basis points
cidb	Construction Industry Development Board
dti	Department of Trade and Industry
e-ProMIS	electronic Project Monitoring Information System
eNatis	electronic National Transport Information System
ha	hectares
hon	honourable
i	One
ii	Two
iii	Three
iv	Four
ix	Nine
kl	kilolitres
km	kilometres
mph	miles per hour
mph	minutes per hour
ppb	parts per billion
sefa	Small Enterprise Finance Agency
uPVC	unplasticised polyvinyl chloride
v	Five
vi	Six
vii	Seven
viii	Eight
x	Ten
xi	Eleven
xii	Twelve
xiii	Thirteen
xiv	Fourteen
xv	Fifteen
xvi	Sixteen
xvii	Seventeen
xviii	Eighteen
xix	Nineteen
xx	Twenty
xxi	Twenty One
