can't	k> a n t>
lemile	l E m i l E
lemilwego	l E m i l w E G O
lemina	l E m i n a
lemogago	l E m O G a G O
lemoga	l E m O G a
lemogang	l E m O G a N
lemogega	l E m O G E G a
lemogego	l E m O G E G O
lemoge	l E m O G E
lemogeng	l E m O G E N
lemogilego	l E m O G i l E G O
lemogile	l E m O G i l E
lemogilwego	l E m O G i l w E G O
lemogilwe	l E m O G i l w E
lemogwago	l E m O G w a G O
lemogwa	l E m O G w a
lemogwe	l E m O G w E
lemolla	l E m O l l a
lemošago	l E m O S a G O
lemoša	l E m O S a
lemoše	l E m O S E
lemošitše	l E m O S i tS> E
lemošitšwego	l E m O S i tS> w E G O
lemošitšwe	l E m O S i tS> w E
lemošwa	l E m O S w a
lemošwe	l E m O S w E
lenaba	l E n a B a
lenaka	l E n a k> a
lenakana	l E n a k> a n a
lenakeng	l E n a k> E N
lenala	l E n a l a
lena	l E n a
lenane	l E n a n E
lenaneo	l E n a n E O
lenaneong	l E n a n E O N
lenaneopotšišo	l E n a n E O p> O tS> i S O
lenaneothero	l E n a n E O th E r O
lenaneothuto	l E n a n E O th u t> O
lenaneotlhahlo	l E n a n E O tlh a K O
lenaneotshepetšo	l E n a n E O tsh E p> E tS> O
lenaneotšhomo	l E n a n E O tSh O m O
lenanetheko	l E n a n E th E k> O
lenanethero	l E n a n E th E r O
lenanethuto	l E n a n E th u t> O
lenao	l E n a O
lenaong	l E n a O N
lengau	l E N a u
lengwago	l E N w a G O
lengwa	l E N w a
lengwalobohlatse	l E N w a l O B O K a ts> E
lengwalo	l E N w a l O
lengwalong	l E N w a l O N
lengwalwana	l E N w a l w a n a
lengwego	l E N w E G O
lengwe	l E N w E
lennyane	l E n J a n E
lenong	l E n O N
lenono	l E n O n O
lense	l E n s E
lente	l E n t> E
lenti	l E n t> i
lentšha	l E n tSh a
lentši	l E n tS> i
lentšu	l E n tS> u
lentšung	l E n tS> u N
lentšwana	l E n tS> w a n a
lenyaga	l E J a G a
lenyalo	l E J a l O
lenyalong	l E J a l O N
lenyane	l E J a n E
lenyatšo	l E J a tS> O
lenyenyane	l E J E J a n E
lenyora	l E J O r a
leobu	l E O B u
leokana	l E O k> a n a
leokodi	l E O k> O l` i
leonyane	l E O J a n E
leopeng	l E O p> E N
leoto	l E O t> O
leotong	l E O t> O N
leotša	l E O tS> a
leotwana	l E O t> w a n a
leotwaneng	l E O t> w a n E N
lepai	l E p> a i
lepakana	l E p> a k> a n a
lepakeng	l E p> a k> E N
lepanta	l E p> a n t> a
lepara	l E p> a r a
lepatlelo	l E p> a tl> E l O
lepatlelong	l E p> a tl> E l O N
lepeletše	l E p> E l E tS> E
lephaka	l E ph a k> a
lephakga	l E ph a kx a
lephakuphaku	l E ph a k> u ph a k> u
lephefo	l E ph E f O
lepheko	l E ph E k> O
lephelo	l E ph E l O
lephephe	l E ph E ph E
lephethi	l E ph E th i
lephodisa	l E ph O l` i s a
lephoto	l E ph O t> O
lepogo	l E p> O G O
lepokisana	l E p> O k> i s a n a
lepokisaneng	l E p> O k> i s a n E N
lepokisi	l E p> O k> i s i
lepokising	l E p> O k> i s i N
leporogo	l E p> O r O G O
lepotlelo	l E p> O tl> E l O
lepotlelong	l E p> O tl> E l O N
lerabele	l E r a B E l E
leraga	l E r a G a
lerageng	l E r a G E N
lerala	l E r a l a
lerama	l E r a m a
lerapo	l E r a p> O
lerapong	l E r a p> O N
leratadima	l E r a t> a l` i m a
lerato	l E r a t> O
leratong	l E r a t> O N
leratorato	l E r a t> O r a t> O
leratwana	l E r a t> w a n a
lereo	l E r E O
leretheng	l E r E th E N
leribeng	l E r i B E N
leribiši	l E r i B i S i
lerojana	l E r O d0Z a n a
lerole	l E r O l E
lerothi	l E r O th i
lerothinyana	l E r O th i J a n a
leroto	l E r O t> O
lerotse	l E r O ts> E
lerotseng	l E r O ts> E N
lerui	l E r u i
leru	l E r u
lerumo	l E r u m O
leruo	l E r u O
lešaba	l E S a B a
lešabašaba	l E S a B a S a B a
lešabeng	l E S a B E N
lešaedi	l E S a E l` i
lešaetšana	l E S a E tS> a n a
lešago	l E S a G O
lešaka	l E S a k> a
lešakeng	l E S a k> E N
lešala	l E S a l a
lešalašala	l E S a l a S a l a
lešalašupi	l E S a l a S u p> i
lesa	l E s a
leša	l E S a
lešano	l E S a n O
lešata	l E S a t> a
lešatana	l E S a t> a n a
lešateng	l E S a t> E N
lesea	l E s E a
leseana	l E s E a n a
lesedi	l E s E l` i
leseding	l E s E l` i N
lesego	l E s E G O
lešego	l E S E G O
lesehla	l E s E K a
lešeka	l E S E k> a
leselaga	l E s E l a G a
leselageng	l E s E l a G E N
lešela	l E S E l a
leselawatle	l E s E l a w a tl> E
lešele	l E S E l E
lese	l E s E
leše	l E S E
leselo	l E s E l O
leselwana	l E s E l w a n a
lesereng	l E s E r E N
lesesane	l E s E s a n E
lešetla	l E S E tl> a
lesetša	l E s E tS> a
lešidi	l E S i l` i
lešika	l E S i k> a
lešilo	l E S i l O
lešing	l E S i N
lešita	l E S i t> a
lešitaphiri	l E S i t> a ph i r i
lesitše	l E s i tS> E
lešitšwe	l E S i tS> w E
lešoba	l E S O B a
lešobana	l E S O B a n a
lešobeng	l E S O B E N
lešoboro	l E S O B O r O
lesogana	l E s O G a n a
lešoka	l E S O k> a
lešokeng	l E S O k> E N
lesokisi	l E s O k> i s i
lešoko	l E S O k> O
lešokotšo	l E S O k> O tS> O
lesole	l E s O l E
lešole	l E S O l E
leso	l E s O
lešo	l E S O
lesoleso	l E s O l E s O
lesolo	l E s O l O
lesolong	l E s O l O N
lesomehlano	l E s O m E K a n O
lesomehlanong	l E s O m E K a n O N
lesome	l E s O m E
lesomenne	l E s O m E n n E
lesomepedi	l E s O m E p> E l` i
lesomesenyane	l E s O m E s E J a n E
lesomeseswai	l E s O m E s E s w a i
lesometee	l E s O m E t> E E
lesometharo	l E s O m E th a r O
lesometshela	l E s O m E tsh E l a
lesoro	l E s O r O
lesorong	l E s O r O N
lesothwana	l E s O th w a n a
lešupi	l E S u p> i
leswa	l E s w a
lešwa	l E S w a
leswao	l E s w a O
leswaopotšišo	l E s w a O p> O tS> i S O
leswena	l E s w E n a
lešweu	l E S w E u
leswielo	l E s w i E l O
leswika	l E s w i k> a
leswikaneng	l E s w i k> a n E N
leswikeng	l E s w i k> E N
leswiswi	l E s w i s w i
leswiswing	l E s w i s w i N
letadi	l E t> a l` i
letago	l E t> a G O
letala	l E t> a l a
leta	l E t> a
letamo	l E t> a m O
letamong	l E t> a m O N
letangwana	l E t> a N w a n a
letangwaneng	l E t> a N w a n E N
letee	l E t> E E
letefatša	l E t> E f a tS> a
letelago	l E t> E l a G O
letela	l E t> E l a
letelele	l E t> E l E l E
letele	l E t> E l E
lete	l E t> E
leteletšana	l E t> E l E tS> a n a
letelwago	l E t> E l w a G O
letelwa	l E t> E l w a
letelwe	l E t> E l w E
letena	l E t> E n a
letetšego	l E t> E tS> E G O
letetše	l E t> E tS> E
letetšwego	l E t> E tS> w E G O
letetšwe	l E t> E tS> w E
lethabo	l E th a B O
lethabong	l E th a B O N
lethale	l E th a l E
lethari	l E th a r i
lethašana	l E th a S a n a
lethata	l E th a t> a
lethebo	l E th E B O
letheka	l E th E k> a
lethekeng	l E th E k> E N
lethologatse	l E th O l O G a ts> E
lethopo	l E th O p> O
lethumaša	l E th u m a S a
lethuši	l E th u S i
letilego	l E t> i l E G O
letile	l E t> i l E
letilwe	l E t> i l w E
letlago	l E tl> a G O
letlakala	l E tl> a k> a l a
letlakaleng	l E tl> a k> a l E N
letla	l E tl> a
letlalo	l E tl> a l O
letlalong	l E tl> a l O N
letlalwana	l E tl> a l w a n a
letlapakgerere	l E tl> a p> a kx E r E r E
letlapa	l E tl> a p> a
letlapi	l E tl> a p> i
letlotlo	l E tl> O tl> O
letolo	l E t> O l O
letona	l E t> O n a
letorokisi	l E t> O r O k> i s i
letšago	l E tS> a G O
letša	l E tS> a
letšatšikgwedi	l E tS> a tS> i kx w E l` i
letšatšikgweding	l E tS> a tS> i kx w E l` i N
letšatši	l E tS> a tS> i
letšatšing	l E tS> a tS> i N
letšego	l E tS> E G O
letseka	l E ts> E k> a
letše	l E tS> E
letsenela	l E ts> E n E l a
letšetša	l E tS> E tS> a
letsetse	l E ts> E ts> E
letšetšwa	l E tS> E tS> w a
letshadi	l E tsh a l` i
letsha	l E tsh a
letsheng	l E tsh E N
letšhogo	l E tSh O G O
letšhollo	l E tSh O l l O
letšhologo	l E tSh O l O G O
letšibogo	l E tS> i B O G O
letsikangope	l E ts> i k> a N O p> E
letšoba	l E tS> O B a
letšobana	l E tS> O B a n a
letšofalela	l E tS> O f a l E l a
letsogo	l E ts> O G O
letsogong	l E ts> O G O N
letsogwana	l E ts> O G w a n a
letsopa	l E ts> O p> a
letswai	l E ts> w a i
letšwa	l E tS> w a
letswalo	l E ts> w a l O
letswayana	l E ts> w a j a n a
letswele	l E ts> w E l E
letsweleng	l E ts> w E l E N
letwa	l E t> w a
leuba	l E u B a
leumo	l E u m O
lewago	l E w a G O
lewa	l E w a
lewatle	l E w a tl> E
lewatleng	l E w a tl> E N
lewe	l E w E
leweng	l E w E N
liki	l i k> i
litara	l i t> a r a
llago	l l a G O
lla	l l a
llego	l l E G O
llelago	l l E l a G O
llela	l l E l a
llelang	l l E l a N
lle	l l E
llelwa	l l E l w a
llelwe	l l E l w E
llifi	l l i f i
llile	l l i l E
llišwa	l l i S w a
lliwa	l l i w a
llwe	l l w E
loba	l O B a
lobile	l O B i l E
lobilwego	l O B i l w E G O
lobiša	l O B i S a
lobja	l O BZ a
logagana	l O G a G a n a
logaganego	l O G a G a n E G O
logagane	l O G a G a n E
logagantšwego	l O G a G a n tS> w E G O
logagantšwe	l O G a G a n tS> w E
logaganya	l O G a G a J a
logaganywa	l O G a G a J w a
logaganywe	l O G a G a J w E
loga	l O G a
loge	l O G E
logetšwego	l O G E tS> w E G O
logile	l O G i l E
logilwego	l O G i l w E G O
logišana	l O G i S a n a
logwa	l O G w a
lohle	l O K E
loilego	l O i l E G O
loile	l O i l E
loilwe	l O i l w E
lokafaditšwe	l O k> a f a l` i tS> w E
lokafatša	l O k> a f a tS> a
lokago	l O k> a G O
loka	l O k> a
lokang	l O k> a N
lokelago	l O k> E l a G O
lokela	l O k> E l a
lokelang	l O k> E l a N
lokele	l O k> E l E
loke	l O k> E
lokelwago	l O k> E l w a G O
lokelwa	l O k> E l w a
lokelwe	l O k> E l w E
loketšego	l O k> E tS> E G O
loketše	l O k> E tS> E
loketšwego	l O k> E tS> w E G O
loketšwe	l O k> E tS> w E
lokheišene	l O kh E i S E n E
lokilego	l O k> i l E G O
lokile	l O k> i l E
lokileng	l O k> i l E N
lokišago	l O k> i S a G O
lokiša	l O k> i S a
lokišeditšwe	l O k> i S E l` i tS> w E
lokiše	l O k> i S E
lokišetšago	l O k> i S E tS> a G O
lokišetša	l O k> i S E tS> a
lokišetše	l O k> i S E tS> E
lokišetšwa	l O k> i S E tS> w a
lokišitše	l O k> i S i tS> E
lokišitšwego	l O k> i S i tS> w E G O
lokišitšwe	l O k> i S i tS> w E
lokišwago	l O k> i S w a G O
lokišwa	l O k> i S w a
lokišwe	l O k> i S w E
lokollago	l O k> O l l a G O
lokolla	l O k> O l l a
lokollela	l O k> O l l E l a
lokolle	l O k> O l l E
lokollwago	l O k> O l l w a G O
lokollwa	l O k> O l l w a
lokollwego	l O k> O l l w E G O
lokollwe	l O k> O l l w E
lokologa	l O k> O l O G a
lokologana	l O k> O l O G a n a
lokologanego	l O k> O l O G a n E G O
lokologe	l O k> O l O G E
lokologilego	l O k> O l O G i l E G O
lokologile	l O k> O l O G i l E
lokolotše	l O k> O l O tS> E
lokolotšwego	l O k> O l O tS> w E G O
lokolotšwe	l O k> O l O tS> w E
lomaganya	l O m a G a J a
lomaganywa	l O m a G a J w a
lomago	l O m a G O
loma	l O m a
lome	l O m E
lomile	l O m i l E
lomilwe	l O m i l w E
lomiša	l O m i S a
lona	l O n a
lonalona	l O n a l O n a
longwa	l O N w a
longwe	l O N w E
lootša	l O O tS> a
lora	l O r a
lorilego	l O r i l E G O
lori	l O r i
loša	l O S a
lota	l O t> a
lotegilego	l O t> E G i l E G O
lotegile	l O t> E G i l E
lotela	l O t> E l a
lotilego	l O t> i l E G O
lotilwego	l O t> i l w E G O
lotilwe	l O t> i l w E
lotšha	l O tSh a
lotšhe	l O tSh E
lotšistiki	l O tS> i s t> i k> i
lotwago	l O t> w a G O
lotwa	l O t> w a
lotwe	l O t> w E
loutša	l O u tS> a
loya	l O j a
lwago	l w a G O
lwalago	l w a l a G O
lwala	l w a l a
lwalela	l w a l E l a
lwale	l w a l E
lwa	l w a
lwana	l w a n a
lwantšhago	l w a n tSh a G O
lwantšha	l w a n tSh a
lwantšhana	l w a n tSh a n a
lwantšhe	l w a n tSh E
lwantšhwa	l w a n tSh w a
lwantšhwe	l w a n tSh w E
lwelago	l w E l a G O
lwela	l w E l a
lwelego	l w E l E G O
lwele	l w E l E
lweša	l w E S a
lwetšego	l w E tS> E G O
lwetše	l w E tS> E
lwewa	l w E w a
maabane	m a a B a n E
maaka	m a a k> a
maamušo	m a a m u S O
maano	m a a n O
maanomabe	m a a n O m a B E
maanong	m a a n O N
maanotshepetšo	m a a n O tsh E p> E tS> O
maarogi	m a a r O G i
maatlafatša	m a a tl> a f a tS> a
maatlafatšo	m a a tl> a f a tS> O
maatlafatšwa	m a a tl> a f a tS> w a
maatlakgogedi	m a a tl> a kx O G E l` i
maatla	m a a tl> a
maatlapere	m a a tl> a p> E r E
maatlataolotoka	m a a tl> a t> a O l O t> O k> a
maatleng	m a a tl> E N
mabadi	m a B a l` i
mabaibai	m a B a i B a i
mabaka	m a B a k> a
mabake	m a B a k> E
mabakeng	m a B a k> E N
mabala	m a B a l a
mabalankwe	m a B a l a n k> w E
mabapi	m a B a p> i
mabarebare	m a B a r E B a r E
mabati	m a B a t> i
mabato	m a B a t> O
mabatong	m a B a t> O N
mabedi	m a B E l` i
mabele	m a B E l E
mabelethoro	m a B E l E th O r O
mabelo	m a B E l O
mabe	m a B E
mabenkele	m a B E n k> E l E
mabenkeleng	m a B E n k> E l E N
mabetlela	m a B E tl> E l a
mabikiri	m a B i k> i r i
mabilo	m a B i l O
mabinakošana	m a B i n a k> O S a n a
mabitla	m a B i tl> a
mabitleng	m a B i tl> E N
mabitšo	m a B i tS> O
mabjala	m a BZ a l a
mabjaneng	m a BZ a n E N
mabjang	m a BZ a N
mabjanyeng	m a BZ a J E N
mabjoko	m a BZ O k> O
mabobo	m a B O B O
maboeletša	m a B O E l E tS> a
mabofokodi	m a B O f O k> O l` i
mabogo	m a B O G O
mabokgoni	m a B O kx O n i
mabone	m a B O n E
maboneng	m a B O n E N
mabonwa	m a B O n w a
maboo	m a B O O
mabopi	m a B O p> i
mabopo	m a B O p> O
mabopong	m a B O p> O N
mabose	m a B O s E
mabota	m a B O t> a
mabotana	m a B O t> a n a
maboteng	m a B O t> E N
mabothata	m a B O th a t> a
mabothe	m a B O th E
mabotho	m a B O th O
mabotlelo	m a B O tl> E l O
mabotlelong	m a B O tl> E l O N
mabotlelwana	m a B O tl> E l w a n a
maboto	m a B O t> O
mabotong	m a B O t> O N
mabotse	m a B O ts> E
mabotšiši	m a B O tS> i S i
maboya	m a B O j a
mabule	m a B u l E
mabu	m a B u
mabung	m a B u N
maburu	m a B u r u
madiamagolo	m a l` i a m a G O l O
madiba	m a l` i B a
madibana	m a l` i B a n a
madibeng	m a l` i B E N
madibogo	m a l` i B O G O
madila	m a l` i l a
madimabe	m a l` i m a B E
madimadima	m a l` i m a l` i m a
madi	m a l` i
madimetša	m a l` i m E tS> a
madimo	m a l` i m O
mading	m a l` i N
madira	m a l` i r a
madiredi	m a l` i r E l` i
madireng	m a l` i r E N
madiri	m a l` i r i
madiring	m a l` i r i N
madišong	m a l` i S O N
madula	m a l` u l a
madulo	m a l` u l O
madulong	m a l` u l O N
madume	m a l` u m E
maeba	m a E B a
maebana	m a E B a n a
maekiši	m a E k> i S i
maele	m a E l E
maemafofane	m a E m a f O f a n E
maemakepe	m a E m a k> E p> E
maemo	m a E m O
maemong	m a E m O N
maene	m a E n E
maeneng	m a E n E N
maeto	m a E t> O
maetong	m a E t> O N
maetwana	m a E t> w a n a
mafahla	m a f a K a
mafahleng	m a f a K E N
mafamo	m a f a m O
mafapa	m a f a p> a
mafapeng	m a f a p> E N
mafapha	m a f a ph a
mafaphana	m a f a ph a n a
mafapheng	m a f a ph E N
mafarahlahla	m a f a r a K a K a
mafase	m a f a s E
mafaseng	m a f a s E N
mafastere	m a f a s t> E r E
mafastereng	m a f a s t> E r E N
mafeela	m a f E E l a
mafeelana	m a f E E l a n a
mafela	m a f E l a
mafelelo	m a f E l E l O
mafelelong	m a f E l E l O N
mafelo	m a f E l O
mafelong	m a f E l O N
mafelwana	m a f E l w a n a
mafiša	m a f i S a
mafodi	m a f O l` i
mafofa	m a f O f a
mafokisi	m a f O k> i s i
mafokodi	m a f O k> O l` i
mafoko	m a f O k> O
mafokong	m a f O k> O N
mafokonolo	m a f O k> O n O l O
mafokothuši	m a f O k> O th u S i
mafokwana	m a f O k> w a n a
mafolofolo	m a f O l O f O l O
mafotle	m a f O tl> E
mafotwana	m a f O t> w a n a
mafsa	m a p\s a
mafšega	m a p\S E G a
mafula	m a f u l a
mafulo	m a f u l O
mafulong	m a f u l O N
mafuri	m a f u r i
magaba	m a G a B a
magadi	m a G a l` i
magae	m a G a E
magaeng	m a G a E N
magagabobona	m a G a G a B O B O n a
magagabo	m a G a G a B O
magagane	m a G a G a n E
magageng	m a G a G E N
magagešo	m a G a G E S O
magahlano	m a G a K a n O
magahlanong	m a G a K a n O N
magalagapa	m a G a l a G a p> a
magala	m a G a l a
magalapa	m a G a l a p> a
maganetši	m a G a n E tS> i
magang	m a G a N
magapi	m a G a p> i
magapu	m a G a p> u
magare	m a G a r E
magareng	m a G a r E N
magata	m a G a t> a
magato	m a G a t> O
magatong	m a G a t> O N
magatwana	m a G a t> w a n a
magetla	m a G E tl> a
magetleng	m a G E tl> E N
mageu	m a G E u
magistrata	m a G i s t> r a t> a
magobe	m a G O B E
magodimo	m a G O l` i m O
magogwa	m a G O G w a
magokobu	m a G O k> O B u
magologolo	m a G O l O G O l O
magolo	m a G O l O
magomo	m a G O m O
magomong	m a G O m O N
magong	m a G O N
magopo	m a G O p> O
magora	m a G O r a
magoreng	m a G O r E N
magoro	m a G O r O
magorong	m a G O r O N
magorwana	m a G O r w a n a
magoši	m a G O S i
magoswi	m a G O s w i
magotlo	m a G O tl> O
magwera	m a G w E r a
mahea	m a h\ E a
mahlagahlaga	m a K a G a K a G a
mahlahla	m a K a K a
mahlajana	m a K a d0Z a n a
mahlaka	m a K a k> a
mahlakeng	m a K a k> E N
mahlakore	m a K a k> O r E
mahlakoreng	m a K a k> O r E N
mahlakorentši	m a K a k> O r E n tS> i
mahlalagading	m a K a l a G a l` i N
mahlalela	m a K a l E l a
mahlale	m a K a l E
mahlaleng	m a K a l E N
mahlalošetšagotee	m a K a l O S E tS> a G O t> E E
mahlano	m a K a n O
mahlaodi	m a K a O l` i
mahlapa	m a K a p> a
mahlare	m a K a r E
mahlareng	m a K a r E N
mahlasedi	m a K a s E l` i
mahlathi	m a K a th i
mahlatse	m a K a ts> E
mahlodi	m a K O l` i
mahlogedi	m a K O G E l` i
mahlogonolo	m a K O G O n O l O
mahloko	m a K O k> O
mahlokong	m a K O k> O N
mahlokwana	m a K O k> w a n a
mahlomahubedu	m a K O m a h\ u B E l` u
mahlo	m a K O
mahlomola	m a K O m O l a
mahlomo	m a K O m O
mahlong	m a K O N
mahlwana	m a K w a n a
mahodu	m a h\ O l` u
maho	m a h\ O
mahubedu	m a h\ u B E l` u
mahube	m a h\ u B E
mahu	m a h\ u
mahumo	m a h\ u m O
mahung	m a h\ u N
mahuto	m a h\ u t> O
mahwafa	m a h\ w a f a
mahwana	m a h\ w a n a
mahwelereng	m a h\ w E l E r E N
maikaelelo	m a i k> a E l E l O
maikarabelo	m a i k> a r a B E l O
maikarabelong	m a i k> a r a B E l O N
maikemišetšomagolo	m a i k> E m i S E tS> O m a G O l O
maikemišetšo	m a i k> E m i S E tS> O
maikemišetšong	m a i k> E m i S E tS> O N
maikgopolelo	m a i kx O p> O l E l O
maikhutšo	m a i kh u tS> O
maikhutšong	m a i kh u tS> O N
maikutlo	m a i k> u tl> O
maikutlong	m a i k> u tl> O N
maima	m a i m a
maime	m a i m E
mainaina	m a i n a i n a
mainakgopolo	m a i n a kx O p> O l O
maina	m a i n a
maineng	m a i n E N
maipiletšo	m a i p> i l E tS> O
maisa	m a i s a
maitapišo	m a i t> a p> i S O
maitekelo	m a i t> E k> E l O
maitekelong	m a i t> E k> E l O N
maiteko	m a i t> E k> O
maitekong	m a i t> E k> O N
maitemogelo	m a i t> E m O G E l O
maitemogelong	m a i t> E m O G E l O N
maithobollo	m a i th O B O l l O
maithomedi	m a i th O m E l` i
maithomelo	m a i th O m E l O
maithutelo	m a i th u t> E l O
maitirelo	m a i t> i r E l O
maitišo	m a i t> i S O
maitlamo	m a i tl> a m O
maitlhamelo	m a i tlh a m E l O
maitokišetšo	m a i t> O k> i S E tS> O
maitsetsepelo	m a i ts> E ts> E p> E l O
maitshwaro	m a i tsh w a r O
maitshwarong	m a i tsh w a r O N
maitswaro	m a i ts> w a r O
majadihlogo	m a d0Z a l` i K O G O
majaneng	m a d0Z a n E N
majoro	m a d0Z O r O
makaakang	m a k> a a k> a N
makaba	m a k> a B a
makaditšwe	m a k> a l` i tS> w E
makae	m a k> a E
makaka	m a k> a k> a
makala	m a k> a l a
makalana	m a k> a l a n a
makalela	m a k> a l E l a
makale	m a k> a l E
makaleng	m a k> a l E N
makalo	m a k> a l O
makaonekaone	m a k> a O n E k> a O n E
makaone	m a k> a O n E
makarapa	m a k> a r a p> a
makasine	m a k> a s i n E
makatika	m a k> a t> i k> a
makatšago	m a k> a tS> a G O
makatša	m a k> a tS> a
makatše	m a k> a tS> E
makatšwa	m a k> a tS> w a
makeišeneng	m a k> E i S E n E N
maketše	m a k> E tS> E
makga	m a kx a
makgaolakgang	m a kx a O l a kx a N
makgarebe	m a kx a r E B E
makgatheng	m a kx a th E N
makgeng	m a kx E N
makgeswa	m a kx E s w a
makgethe	m a kx E th E
makgetho	m a kx E th O
makgethong	m a kx E th O N
makgethwa	m a kx E th w a
makgethwana	m a kx E th w a n a
makgoba	m a kx O B a
makgobapuku	m a kx O B a p> u k> u
makgohlwana	m a kx O K w a n a
makgolohlano	m a kx O l O K a n O
makgolokgolo	m a kx O l O kx O l O
makgolo	m a kx O l O
makgolopedi	m a kx O l O p> E l` i
makgolosenyane	m a kx O l O s E J a n E
makgolotharo	m a kx O l O th a r O
makgoma	m a kx O m a
makgona	m a kx O n a
makgoni	m a kx O n i
makgonthe	m a kx O n th E
makgopo	m a kx O p> O
makgotlakemedi	m a kx O tl> a k> E m E l` i
makgotla	m a kx O tl> a
makgotlana	m a kx O tl> a n a
makgotlantši	m a kx O tl> a n tS> i
makgotlataolo	m a kx O tl> a t> a O l O
makgotleng	m a kx O tl> E N
makgowa	m a kx O w a
makgwakgwa	m a kx w a kx w a
makgwara	m a kx w a r a
makgwareng	m a kx w a r E N
makheišene	m a kh E i S E n E
makheišeneng	m a kh E i S E n E N
makhura	m a kh u r a
makhutšo	m a kh u tS> O
maknisiamo	m a k> n i s i a m O
makoko	m a k> O k> O
makopanyi	m a k> O p> a J i
makopo	m a k> O p> O
maksimamo	m a k> s i m a m O
makubo	m a k> u B O
makwala	m a k> w a l a
makwerekwere	m a k> w E r E k> w E r E
malahla	m a l a K a
malakane	m a l a k> a n E
malalaphaephe	m a l a l a ph a E ph E
malalatle	m a l a l a tl> E
mala	m a l a
malaomabe	m a l a O m a B E
malao	m a l a O
malaong	m a l a O N
malapa	m a l a p> a
malapeng	m a l a p> E N
malatodi	m a l a t> O l` i
maleba	m a l E B a
malebana	m a l E B a n a
malebišakgolo	m a l E B i S a kx O l O
malebiša	m a l E B i S a
malebo	m a l E B O
maledu	m a l E l` u
maledung	m a l E l` u N
malekeleke	m a l E k> E l E k> E
malekere	m a l E k> E r E
malekopo	m a l E k> O p> O
malele	m a l E l E
maleme	m a l E m E
malemeng	m a l E m E N
maleng	m a l E N
malepola	m a l E p> O l a
maletere	m a l E t> E r E
maloba	m a l O B a
malobanyana	m a l O B a J a n a
malobeng	m a l O B E N
malokollo	m a l O k> O l l O
malokollong	m a l O k> O l l O N
maloko	m a l O k> O
malokong	m a l O k> O N
malokwana	m a l O k> w a n a
malokwane	m a l O k> w a n E
malomeagwe	m a l O m E a G w E
malome	m a l O m E
malopo	m a l O p> O
malwa	m a l w a
malwetšana	m a l w E tS> a n a
malwetši	m a l w E tS> i
malwetšing	m a l w E tS> i N
mamane	m a m a n E
mamapo	m a m a p> O
mamaretša	m a m a r E tS> a
mamela	m a m E l a
mametletšo	m a m E tl> E tS> O
mamila	m a m i l a
mamina	m a m i n a
mamohla	m a m O K a
mampa	m a m p> a
mampšane	m a m pS> a n E
mampudi	m a m p> u l` i
manaba	m a n a B a
manaka	m a n a k> a
manakana	m a n a k> a n a
manala	m a n a l a
manamane	m a n a m a n E
manamanyana	m a n a m a J a n a
mananana	m a n a n a n a
mananeo	m a n a n E O
mananeong	m a n a n E O N
manegilwego	m a n E G i l w E G O
manga	m a N a
mangana	m a N a n a
manganga	m a N a N a
mangina	m a N i n a
mang	m a N
mangwalo	m a N w a l O
mangwalong	m a N w a l O N
mangwalwana	m a N w a l w a n a
mangwe	m a N w E
mankgagane	m a n kx a G a n E
mankgeretla	m a n kx E r E tl> a
mannete	m a n n E t> E
mannyane	m a n J a n E
manong	m a n O N
manono	m a n O n O
mantaga	m a n t> a G a
manthapama	m a n th a p> a m a
manthapameng	m a n th a p> a m E N
manti	m a n t> i
mantona	m a n t> O n a
mantsho	m a n tsh O
mantšiboa	m a n tS> i B O a
mantšiboeng	m a n tS> i B O E N
mantši	m a n tS> i
mantšintši	m a n tS> i n tS> i
mantšinyana	m a n tS> i J a n a
mantšu	m a n tS> u
mantšung	m a n tS> u N
mantšwana	m a n tS> w a n a
mantšwanyanakanego	m a n tS> w a J a n a k> a n E G O
manyalo	m a J a l O
manyami	m a J a m i
manyenyane	m a J E J a n E
manyokenyoke	m a J O k> E J O k> E
manyora	m a J O r a
manyoro	m a J O r O
maoba	m a O B a
maobu	m a O B u
maokelo	m a O k> E l O
maokelong	m a O k> E l O N
maope	m a O p> E
maose	m a O s E
maoto	m a O t> O
maotong	m a O t> O N
maotwanahunyela	m a O t> w a n a h\ u J E l a
maotwana	m a O t> w a n a
mapai	m a p> a i
mapaing	m a p> a i N
mapalane	m a p> a l a n E
mapale	m a p> a l E
mapanta	m a p> a n t> a
mapanteng	m a p> a n t> E N
mapatlelo	m a p> a tl> E l O
mapetla	m a p> E tl> a
maphaga	m a ph a G a
maphakga	m a ph a kx a
maphale	m a ph a l E
maphefo	m a ph E f O
maphego	m a ph E G O
mapheko	m a ph E k> O
maphelo	m a ph E l O
maphelong	m a ph E l O N
maphene	m a ph E n E
maphephe	m a ph E ph E
maphodi	m a ph O l` i
maphodisa	m a ph O l` i s a
maphodiseng	m a ph O l` i s E N
maphoofolo	m a ph O O f O l O
maphotho	m a ph O th O
maphoto	m a ph O t> O
mapimpana	m a p> i m p> a n a
mapogo	m a p> O G O
mapokisana	m a p> O k> i s a n a
mapokisi	m a p> O k> i s i
mapolanka	m a p> O l a n k> a
mapona	m a p> O n a
mapono	m a p> O n O
maporogo	m a p> O r O G O
mapotlelo	m a p> O tl> E l O
mapotlelong	m a p> O tl> E l O N
