'n	@
jaartal	j A: r t a l
jaarvergadering	j A: r f @ r x A: d @ r @ N
jaarvergaderings	j A: r f @ r x A: d @ r @ N s
jaarverslae	j A: r f @ r s l A: @
jaarverslag	j A: r f @ r s l a x
jacus	j a k 9 s
jaer	j A: @ r
jaers	j A: @ r s
jag	j a x
jagluiperd	j a x l 9y p @ r t
jagter	j a x t @ r
jagters	j a x t @ r s
jagtog	j a x t O x
jagtogte	j a x t O x t @
jagveld	j a x f { l t
jakaranda	j a k a r a n d a
jakkals	j a k a l s
jakkalse	j a k a l s @
jakkie	j a k i
jakob	j A: k O p
jaloers	j a l u r s
jaloerse	j a l u r s @
jaloesie	j a l u s i
jam	j a m
jamboree	j a m b u r i@
jammer	j a m @ r
jammerlik	j a m @ r l @ k
jammerlike	j a m @ r l @ k @
jammerte	j a m @ r t @
janie	j A: n i
japanese	j a p a n i@ s @
jappie	j a p i
jappies	j a p i s
japtrap	j a p t r a p
jare	j A: r @
jarelange	j A: r @ l a N @
jarige	j A: r @ x @
jariges	j A: r @ x @ s
jarret	dZ { r @ t
jas	j a s
jasmyn	j a s m @i n
jasse	j a s @
jazz	dZ { z
jazzfees	dZ { z f i@ s
jeans	dZ i n s
jeens	j i@ n s
jeeppad	dZ y p p a t
jellie	dZ E l i
jen	j E n
jerusalem	j @ r y s a l E m
jesaja	j @ s A: j a
jesus	j y s 9 s
jettie	dZ E t i
jeug	j 2: x
jeugbediening	j 2: x b @ d i n @ N
jeugboeke	j 2: x b u k @
jeugdige	j 2: x d @ x @
jeugdigheid	j 2: x d @ x h\ @i t
jeugjare	j 2: x j A: r @
jeugkommissie	j 2: x k u m i s i
jeugkoor	j 2: x k u@ r
jeugland	j 2: x l a n t
jeugleiers	j 2: x l @i @ r s
jeugliga	j 2: x l i x a
jeugliteratuur	j 2: x l @ t @ r a t y r
jeugmisdaad	j 2: x m @ s d A: t
jeugmisdadigers	j 2: x m @ s d A: d @ x @ r s
jeugroman	j 2: x r u m a n
jeugverhale	j 2: x f @ r h\ A: l @
jeuk	j 2: k
jiddisje	j i d i S @
jip	j @ p
jirre	j @ r @
job	j O b
jode	j u@ d @
joel	j u l
joernaal	j u r n A: l
joernaalinskrywing	j u r n A: l @ n s k r @i v @ N
joernale	j u r n A: l @
joernalis	j u r n a l @ s
joernaliseer	j u r n a l i s i@ r
joernaliste	j u r n a l @ s t @
joernalistiek	j u r n a l @ s t i k
joernalistieke	j u r n a l @ s t i k @
joga	j u@ x a
joggie	j O x i
johannes	j u h\ a n @ s
johannesburg	j u h\ a n @ s b 9 r x
johannesburger	j u h\ a n @ s b 9 r g @ r
john	dZ O n
johnny	dZ O n i
jok	j O k
jokkie	dZ O k i
jokkieklub	dZ O k i k l 9 b
jokkies	dZ O k i s
jolig	j u@ l @ x
jolige	j u@ l @ x @
jolyt	j u l @i t
jong	j O N
jonge	j O N @
jongeling	j O N @ l @ N
jongelinge	j O N @ l @ N @
jonger	j O N @ r
jonges	j O N @ s
jongman	j O N m a n
jongmeisie	j O N m @i s i
jongmens	j O N m E n s
jongmense	j O N m E n s @
jongs	j O N s
jongspan	j O N s p a n
jongste	j O N s t @
jonk	j O N k
jonker	j O N k @ r
jool	j u@ l
joolkomitee	j u@ l k O m @ t i@
joolkoningin	j u@ l k u@ n @ N @ n
joos	j u@ s
jordaniese	j O r d A: n i s @
josef	j u@ s @ f
josua	j u@ S u a
jota	j u@ t a
jou	j @u
jouself	j @u s { l f
joy	dZ O:i
juan	j u a n
jubel	j y b @ l
juda	j u d a
judo	dZ u d @u
juffrou	j 9 f r @u
juig	j 9y x
juigende	j 9y x @ n d @
juis	j 9y s
juiste	j 9y s t @
jukskei	j 9 k s k @i
jul	j 9 l
julie	j u l i
julle	j 9 l @
julleself	j 9 l @ s { l f
junior	dZ u n i O r
juniors	dZ u n i O r s
jura	dZ u r a
juridiese	j u r i d i s @
jurie	j u r i
juries	j u r i s
juris	j u r @ s
jurisdiksie	j u r @ s d @ k s i
juriste	j u r @ s t @
justisie	j 9 s t i s i
jutge	j 9 t x @
juweel	j u v i@ l
juwele	j u v i@ l @
juwelier	j u v @ l i r
juweliersbedryf	j u v @ l i r s b @ d r @i f
juweliersware	j u v @ l i r s v A: r @
juwelierswinkel	j u v @ l i r s v @ N k @ l
jy	j @i
jy's	j @i s
jyself	j @i s { l f
kaai	k A:i
kaak	k A: k
kaal	k A: l
kaalvoet	k A: l f u t
kaalvuis	k A: l f 9y s
kaap	k A: p
kaapkolonie	k A: p k u l u@ n i
kaaps	k A: p s
kaapse	k A: p s @
kaapstad	k A: p s t a t
kaapstadse	k A: p s t a t s @
kaart	k A: r t
kaarte	k A: r t @
kaarthouers	k A: r t h\ @u @ r s
kaartjie	k A: r k i
kaartjies	k A: r k i s
kaartjieverkope	k A: r k i f @ r k u@ p @
kaartverwysings	k A: r t f @ r v @i s @ N s
kaas	k A: s
kabaret	k a b a r E t
kabaretkunstenaar	k a b a r E t k 9 n s t @ n A: r
kabel	k A: b @ l
kabeljou	k a b @ l j @u
kabels	k A: b @ l s
kabinet	k a b i n E t
kabinetsbesluit	k a b i n E t s b @ s l 9y t
kabinetskomitee	k a b i n E t s k O m @ t i@
kabinetslede	k a b i n E t s l i@ d @
kabinetslid	k a b i n E t s l @ t
kabinetsvergadering	k a b i n E t s f @ r x A: d @ r @ N
kaboel	k a b u l
kader	k A: d @ r
kadette	k a d E t @
kaf	k a f
kafee	k a f i@
kafeteria	k a f @ t i@ r i a
kafeïen	k a f i i n
kaffer	k a f @ r
kaffers	k a f @ r s
kafgedraf	k a f x @ d r a f
kafgeloop	k a f x @ l u@ p
kaggel	k a x @ l
kajuit	k a j 9y t
kakao	k a k a h\ u
kakebeen	k A: k @ b i@ n
kakieklere	k A: k i k l i@ r @
kakies	k A: k i s
kakkerlakke	k a k @ r l a k @
kakofoniese	k a k u f u@ n i s @
kaktus	k a k t 9 s
kala	k A: l a
kale	k A: l @
kalender	k a l E n d @ r
kalenderjaar	k a l E n d @ r j A: r
kalenders	k a l E n d @ r s
kalf	k a l f
kalfie	k a l f i
kalfies	k a l f i s
kaliber	k a l i b @ r
kaliforniese	k a l @ f O r n i s @
kalium	k A: l i 9 m
kalk	k a l k
kalklig	k a l k l @ x
kalm	k a l @ m
kalmeer	k a l m i@ r
kalmer	k a l @ m @ r
kalmte	k a l @ m t @
kalorieë	k a l u r i @
kalsium	k a l s i 9 m
kalsiumkarbonaat	k a l s i 9 m k a r b u n A: t
kalwers	k a l v @ r s
kam	k a m
kameel	k a m i@ l
kamer	k A: m @ r
kamera	k a m @ r a
kameraadskap	k a m @ r A: t s k a p
kameras	k a m @ r a s
kamerawerk	k a m @ r a v { r k
kamerdeur	k A: m @ r d 2: r
kamerjas	k A: m @ r j a s
kamerkoor	k A: m @ r k u@ r
kamermaat	k A: m @ r m A: t
kamermusiek	k A: m @ r m 9 s i k
kamerorkes	k A: m @ r O r k E s
kamers	k A: m @ r s
kamertjie	k A: m @ r k i
kamervenster	k A: m @ r f E n s t @ r
kamfer	k a m f @ r
kamma	k a m a
kamp	k a m p
kampe	k a m p @
kampeer	k a m p i@ r
kampie	k a m p i
kampioen	k a m p i u n
kampioene	k a m p i u n @
kampioenskap	k a m p i u n s k a p
kampioenskappe	k a m p i u n s k a p @
kampioenskapsbyeenkoms	k a m p i u n s k a p s b @i i@ n k O m s
kampioenskapstoernooi	k a m p i u n s k a p s t u r n O:i
kampioenspan	k a m p i u n s p a n
kampus	k a m p 9 s
kampusse	k a m p 9 s @
kampvegter	k a m p f { x t @ r
kampvegters	k a m p f { x t @ r s
kampvuur	k a m p f y r
kan	k a n
kanaal	k a n A: l
kanadese	k a n a d i@ s @
kanale	k a n A: l @
kandelaar	k a n d @ l A: r
kandidaat	k a n d i d A: t
kandidate	k a n d i d A: t @
kandidatelys	k a n d i d A: t @ l @i s
kandidatuur	k a n d i d a t y r
kangovallei	k a N g u f a l @i
kanker	k a N k @ r
kankers	k a N k @ r s
kankerselle	k a N k @ r s { l @
kankervereniging	k a N k @ r f @ r i@ n @ x @ N
kanna	k a n a
kannetjie	k a n i k i
kanniedood	k a n i d u@ t
kano	k a n u
kanon	k a n O n
kanoniek	k a n u n i k
kanonieke	k a n u n i k @
kanonne	k a n O n @
kanons	k A: n O n s
kanovaarders	k a n u@ v A: r d @ r s
kans	k A: n s
kanse	k A: n s @
kansel	k a n s @ l
kanselier	k a n s @ l i r
kanselleer	k a n s @ l i@ r
kant	k a n t
kante	k a n t @
kantel	k a n t @ l
kantlyn	k a n t l @i n
kantoor	k a n t u@ r
kantoorgebou	k a n t u@ r x @ b @u
kantoorgeboue	k a n t u@ r x @ b @u @
kantoorgebruik	k a n t u@ r x @ b r 9y k
kantoormeubels	k a n t u@ r m 2: b @ l s
kantoornommer	k a n t u@ r n O m @ r
kantoorruimte	k a n t u@ r r 9y m t @
kantoorure	k a n t u@ r y r @
kantoorwerkers	k a n t u@ r v { r k @ r s
kantor	k a n t O r
kantore	k a n t u@ r @
kap	k a p
kapasiteit	k a p a s i t @i t
kapel	k a p { l
kapelaan	k a p @ l A: n
kapenaar	k A: p @ n A: r
kapenaars	k A: p @ n A: r s
kaper	k A: p @ r
kapers	k A: p @ r s
kaphou	k a p h\ @u
kaping	k A: p @ N
kapings	k A: p @ N s
kapitaal	k a p i t A: l
kapitaalbegroting	k a p i t A: l b @ x r u@ t @ N
kapitaalbehoeftes	k a p i t A: l b @ h\ u f t @ s
kapitaalbelegging	k a p i t A: l b @ l { x @ N
kapitaalbesteding	k a p i t A: l b @ s t i@ d @ N
kapitaalgoedere	k a p i t A: l x u d @ r @
kapitaalgroei	k a p i t A: l x r ui
kapitaalinvloei	k a p i t A: l @ n f l ui
kapitaalmark	k a p i t A: l m a r k
kapitaalmarkte	k a p i t A: l m a r k t @
kapitaalprojekte	k a p i t A: l p r u j E k t @
kapitaaluitgawe	k a p i t A: l 9y t x A: v @
kapitaaluitgawes	k a p i t A: l 9y t x A: v @ s
kapitaalvloei	k a p i t A: l f l ui
kapitaalwins	k a p i t A: l v @ n s
kapitaalwinsbelasting	k a p i t A: l v @ n s b @ l a s t @ N
kapitaalwinste	k a p i t A: l v @ n s t @
kapitale	k a p i t A: l @
kapitalisasie	k a p i t a l i s A: s i
kapitalisme	k a p i t a l @ s m @
kapitaliste	k a p i t a l @ s t @
kapitalistiese	k a p i t a l @ s t i s @
kapokgewig	k a p O k x @ v @ x
kappie	k a p i
kappies	k a p i s
kapsie	k a p s i
kapsule	k a p s y l @
kapsules	k a p s y l @ s
kaptein	k a p t @i n
kapteins	k a p t @i n s
kapteinskap	k a p t @i n s k a p
kar	k a r
karaat	k a r A: t
karakter	k a r a k t @ r
karaktereienskappe	k a r a k t @ r @i @ n s k a p @
karakteriseer	k a r a k t @ r i s i@ r
karakteristieke	k a r a k t @ r @ s t i k @
karakters	k a r a k t @ r s
karaktertrekke	k a r a k t @ r t r { k @
karate	k a r a t i
karbonate	k a r b u n A: t @
karboon	k a r b u@ n
kardiale	k a r d i A: l @
kardinaal	k a r d i n A: l
kardinale	k a r d i n A: l @
karibiese	k a r @ b i s @
karige	k A: r @ x @
karikatuur	k a r i k a t y r
karkasse	k a r k a s @
karma	k a r m a
karnaval	k a r n a f A: l
karoo	k a r u@
karos	k a r O s
karp	k a r p
karpe	k a r p @
karperd	k a r p { r t
karperde	k a r p { r d @
karre	k a r @
karring	k a r @ N
karringmelk	k a r @ N m { l k
karsinoom	k a r s i n u@ m
karteer	k a r t i@ r
kartel	k a r t @ l
kartografie	k a r t u x r a f i
kartondoos	k a r t O n d u@ s
kartondose	k a r t O n d u@ s @
kartonne	k a r t O n @
karwei	k a r v @i
kas	k a s
kase	k A: s @
kasregister	k a s r @ x @ s t @ r
kasset	k a s E t
kassetspeler	k a s E t s p i@ l @ r
kassie	k a s i
kassier	k a s i r
kaste	k a s t @
kasteel	k a s t i@ l
kastig	k a s t @ x
kastrol	k a s t r O l
kasty	k a s t @i
kat	k a t
katabolisme	k a t a b u l @ s m @
katalisator	k a t a l i s A: t O r
katalitiese	k a t a l i t i s @
katalogus	k a t a l u x 9 s
katedraal	k a t @ d r A: l
katedrale	k a t @ d r A: l @
kategese	k a t @ x i@ s @
kategismus	k a t @ x @ s m 9 s
kategorie	k a t @ x u r i
kategories	k a t @ x u@ r i s
kategoriese	k a t @ x u@ r i s @
kategorieë	k a t @ x u r i @
kategorisering	k a t @ x u r i s i@ r @ N
katel	k A: t @ l
kateter	k a t i@ t @ r
katjies	k ai k i s
katoen	k a t u n
katolieke	k a t u l i k @
katswink	k a t s w @ N k
katte	k a t @
kavaliers	k a v a l i r s
keel	k i@ l
keelaf	k i@ l a f
keelvol	k i@ l f O l
keep	k i@ p
keer	k i@ r
keerdatum	k i@ r d A: t 9 m
keerpunt	k i@ r p 9 n t
keersy	k i@ r s @i
keerwal	k i@ r v a l
kees	k i@ s
kegelbal	k i@ x @ l b a l
keiser	k @i z @ r
keisers	k @i z @ r s
keisersnit	k @i z @ r s n @ t
kelder	k { l d @ r
kelders	k { l d @ r s
kelderverdieping	k { l d @ r f @ r d i p @ N
kele	k i@ l @
kelk	k { l k
kelner	k { l n @ r
keltiese	k { l t i s @
ken	k E n
kenbaar	k E n b A: r
kenmerk	k E n m { r k
kenmerke	k E n m { r k @
kenmerkend	k E n m { r k @ n t
kenmerkende	k E n m { r k @ n d @
kenmotief	k E n m u t i f
kenne	k E n @
kennedy	k E n @ d i
kennelik	k E n @ l @ k
kenner	k E n @ r
kenners	k E n @ r s
kennis	k E n @ s
kennisbasis	k E n @ s b A: s @ s
kennisbeheersing	k E n @ s b @ h\ i@ r s @ N
kennisgewing	k E n @ s x i@ v @ N
kennisgewingborde	k E n @ s x i@ v @ N b O r d @
kennisgewings	k E n @ s x i@ v @ N s
kenniskommunikasie	k E n @ s k O m y n i k A: s i
kennismaking	k E n @ s m A: k @ N
kennisontwikkeling	k E n @ s O n t v @ k @ l @ N
kennisreproduksie	k E n @ s r i@ p r u d 9 k s i
kennisse	k E n @ s @
kennisterrein	k E n @ s t @ r @i n
kennisuitruiling	k E n @ s 9y t r 9y l @ N
kennisverwerwing	k E n @ s f @ r v { r v @ N
kentekens	k E n t i@ k @ n s
keppie	k E p i
kere	k i@ r @
kerf	k { r f
kerfstok	k { r f s t O k
kerk	k { r k
kerkdiens	k { r k d i n s
kerkdienste	k { r k d i n s t @
kerke	k { r k @
kerkeenheid	k { r k i@ n h\ @i t
kerkgangers	k { r k x a N @ r s
kerkgebou	k { r k x @ b @u
kerkgroepe	k { r k x r u p @
kerkhof	k { r k h\ O f
kerkie	k { r k i
kerkleier	k { r k l @i @ r
kerkleiers	k { r k l @i @ r s
kerklike	k { r k l @ k @
kerklui	k { r k l 9y
kerkman	k { r k m a n
kerkmusiek	k { r k m 9 s i k
kerkorde	k { r k O r d @
kerkorrel	k { r k O r @ l
kerkplein	k { r k p l @i n
kerkraad	k { r k r A: t
kerkrade	k { r k r A: d @
kerkregering	k { r k r @ x i@ r @ N
kerkverband	k { r k f @ r b a n t
kerm	k { r @ m
kermesse	k { r m E s @
kermis	k { r m @ s
kern	k { r @ n
kernbedrywighede	k { r @ n b @ d r @i v @ x h\ i@ d @
kernbomme	k { r @ n b O m @
kerneienskappe	k { r @ n @i @ n s k a p @
kerngedagtes	k { r @ n x @ d a x t @ s
kernsake	k { r @ n s A: k @
kernsin	k { r @ n s @ n
kernstrategieë	k { r @ n s t r a t @ x i @
kerntoets	k { r @ n t u t s
kernvers	k { r @ n f { r s
kernwapens	k { r @ n v A: p @ n s
kernwoorde	k { r @ n v u@ r d @
kerriepoeier	k E r i p ui @ r
kers	k { r s
kersaand	k { r s A: n t
kersboom	k { r s b u@ m
kersdag	k { r s d a x
kerse	k { r s @
kersete	k { r s i@ t @
kersfees	k { r s f i@ s
kersfonds	k { r s f O n t s
kersgeskenk	k { r s x @ s k E N k
kersgeskenke	k { r s x @ s k E N k @
kersie	k { r s i
kerskaartjies	k { r s k A: r k i s
kersliedere	k { r s l i d @ r @
kerslig	k { r s l @ x
kerssangdiens	k { r s s a N d i n s
kerstyd	k { r s t @i t
kersvakansie	k { r s f a k a n s i
ketel	k i@ t @ l
ketone	k @ t u@ n @
ketting	k E t @ N
kettingreaksie	k E t @ N r i a k s i
kettings	k E t @ N s
kettingwinkel	k E t @ N v @ N k @ l
keur	k 2: r
keurbundel	k 2: r b 9 n d @ l
keurder	k 2: r d @ r
keurders	k 2: r d @ r s
keuring	k 2: r @ N
keuringsproses	k 2: r @ N s p r u s E s
keurkomitee	k 2: r k O m @ t i@
keurkopie	k 2: r k u@ p i
keurlys	k 2: r l @i s
keurspel	k 2: r s p { l
keuse	k 2: s @
keuselys	k 2: s @ l @i s
keuses	k 2: s @ s
keusevrae	k 2: s @ f r A: @
kewer	k i@ v @ r
kiaat	k i A: t
kibbel	k @ b @ l
kie	k i
kiekie	k i k i
kielie	k i l i
kiem	k i m
kierie	k i r i
kieries	k i r i s
kies	k i s
kiesafdeling	k i s a f d i@ l @ N
kiesafdelings	k i s a f d i@ l @ N s
kiesbeampte	k i s b @ a m p t @
kiesbeamptes	k i s b @ a m p t @ s
kieser	k i s @ r
kiesers	k i s @ r s
kieserskorps	k i s @ r s k O r p s
kieserslys	k i s @ r s l @i s
kieserslyste	k i s @ r s l @i s t @
kiesersopleiding	k i s @ r s O p l @i d @ N
kieskeurig	k i s k 2: r @ x
kieskeurige	k i s k 2: r @ x @
kiesstelsel	k i s s t { l s @ l
kieswet	k i s v E t
kil	k @ l
killer	k @ l @ r
kilogram	k i l u x r a m
kilometer	k i l u m i@ t @ r
kilometers	k i l u m i@ t @ r s
kim	k @ m
kinantropometrie	k i n a n t r u p u m @ t r i
kind	k @ n t
kinderboekskrywer	k @ n d @ r b u k s k r @i v @ r
kinderdae	k @ n d @ r d A: @
kinderensiklopedieë	k @ n d @ r E n s i k l u@ p @ d i @
kinderfonds	k @ n d @ r f O n t s
kinderhof	k @ n d @ r h\ O f
kinderhospitaal	k @ n d @ r h\ O s p i t A: l
kinderhuis	k @ n d @ r h\ 9y s
kinderjare	k @ n d @ r j A: r @
kinderkoor	k @ n d @ r k u@ r
kinderkuns	k @ n d @ r k 9 n s
kinderlik	k @ n d @ r l @ k
kinderlike	k @ n d @ r l @ k @
kinderliteratuur	k @ n d @ r l @ t @ r a t y r
kinderloos	k @ n d @ r l u@ s
kindermisbruik	k @ n d @ r m @ s b r 9y k
kindermishandeling	k @ n d @ r m @ s h\ a n d @ l @ N
kinderoppasser	k @ n d @ r O p a s @ r
kinderpornografie	k @ n d @ r p O r n u x r a f i
kinderprogramme	k @ n d @ r p r u x r a m @
kinders	k @ n d @ r s
kinderskoene	k @ n d @ r s k u n @
kindersorg	k @ n d @ r s O r x
kinderteater	k @ n d @ r t i A: t @ r
kindertjies	k @ n d @ r k i s
kindertyd	k @ n d @ r t @i t
kindjie	k @i N k i
kindjies	k @i N k i s
kinetiese	k @ n i@ t i s @
kinetika	k @ n i@ t i k a
kinkel	k @ N k @ l
kiosk	k i O s k
kis	k @ s
kissie	k @ s i
kiste	k @ s t @
kitaar	k i t A: r
kitaarspeler	k i t A: r s p i@ l @ r
kits	k @ t s
kitsbank	k @ t s b a N k
kitsbanke	k @ t s b a N k @
kitskos	k @ t s k O s
kitskrieket	k @ t s k r i k @ t
kitsreeks	k @ t s r i@ k s
kiwi	k i v i
kla	k l A:
klaaglied	k l A: x l i t
klaagster	k l A: x s t @ r
klaar	k l A: r
klaarblyklik	k l A: r b l @i k l @ k
klaarblyklike	k l A: r b l @i k l @ k @
klaargemaak	k l A: r x @ m A: k
klaargespeel	k l A: r x @ s p i@ l
klaarkom	k l A: r k O m
klaarmaak	k l A: r m A: k
klaarspeel	k l A: r s p i@ l
klad	k l a t
klade	k l A: d @
klaer	k l A: @ r
klaers	k l A: @ r s
klag	k l a x
klagstaat	k l a x s t A: t
klagte	k l a x t @
klagtedirektoraat	k l a x t @ d i r E k t u r A: t
klagtes	k l a x t @ s
klak	k l a k
klam	k l a m
klank	k l a N k
klankbaan	k l a N k b A: n
klankband	k l a N k b a n t
klankbord	k l a N k b O r t
klanke	k l a N k @
klankstelsel	k l a N k s t { l s @ l
klant	k l a n t
klante	k l a n t @
klap	k l a p
klapmusse	k l a p m 9 s @
klappe	k l a p @
klapperkop	k l a p @ r k O p
klappers	k l a p @ r s
klarinet	k l a r i n E t
klarinetspeler	k l a r i n E t s p i@ l @ r
klas	k l a s
klasaantekeninge	k l a s A: n t i@ k @ n @ N @
klasbyeenkoms	k l a s b @i i@ n k O m s
klasgee	k l a s x i@
klasgeld	k l a s x { l t
klasgeleenthede	k l a s x @ l i@ n t h\ i@ d @
klasgesprek	k l a s x @ s p r { k
klasgroep	k l a s x r u p
klaskamer	k l a s k A: m @ r
klaskamerpraktyk	k l a s k A: m @ r p r a k t @i k
klaskamers	k l a s k A: m @ r s
klaslose	k l a s l u@ s @
klasmaat	k l a s m A: t
klasnotas	k l a s n u@ t a s
klasperiodes	k l a s p i@ r i u@ d @ s
klasse	k l a s @
klassie	k l a s i
klassieke	k l a s i k @
klassifikasiestelsel	k l a s i f i k A: s i s t { l s @ l
klassifiseer	k l a s i f i s i@ r
klassis	k l a s @ s
klassituasie	k l a s s @ tS u A: s i
klastye	k l a s t @i @
klasverteenwoordiger	k l a s f @ r t i@ n v u@ r d @ x @ r
klasvoorbereiding	k l a s f u@ r b @ r @i d @ N
klavesimbel	k l a v @ s @ m b @ l
klavier	k l a f i r
klavierduette	k l a f i r d u E t @
klaviere	k l a f i r @
klavierkonsert	k l a f i r k O n s { r t
klaviermetodiek	k l a f i r m E t u d i k
klavierspeler	k l a f i r s p i@ l @ r
klawer	k l A: v @ r
klawerbord	k l A: v @ r b O r t
klawers	k l A: v @ r s
kledingstuk	k l i@ d @ N s t 9 k
klee	k l i@
kleed	k l i@ t
kleedkamer	k l i@ t k A: m @ r
kleedrepetisie	k l i@ t r E p @ t i s i
kleef	k l i@ f
kleefmyn	k l i@ f m @i n
klei	k l @i
kleim	k l @i m
klein	k l @i n
kleinboere	k l @i n b u r @
kleinboet	k l @i n b u t
kleinding	k l @i n d @ N
kleindogter	k l @i n d O x t @ r
kleine	k l @i n @
kleiner	k l @i n @ r
kleinerige	k l @i n @ r @ x @
kleingeld	k l @i n x { l t
kleingoed	k l @i n x u t
kleingroep	k l @i n x r u p
kleinhandel	k l @i n h\ a n d @ l
kleinhandelaar	k l @i n h\ a n d @ l A: r
kleinhandelaars	k l @i n h\ a n d @ l A: r s
kleinhandelprys	k l @i n h\ a n d @ l p r @i s
kleinhandelverkope	k l @i n h\ a n d @ l f @ r k u@ p @
kleinhoewe	k l @i n h\ u v @
kleinhoewes	k l @i n h\ u v @ s
kleinkind	k l @i n k @ n t
kleinkinders	k l @i n k @ n d @ r s
kleinman	k l @i n m a n
kleinood	k l @i n u@ t
kleins	k l @i n s
kleinsake	k l @i n s A: k @
kleinsakeondernemings	k l @i n s A: k @ O n d @ r n i@ m @ N s
kleinseun	k l @i n s 2: n
kleinskaalse	k l @i n s k A: l s @
kleinste	k l @i n s t @
kleintjie	k l @i N k i
kleintjies	k l @i N k i s
kleintyd	k l @i n t @i t
kleinvee	k l @i n f i@
klem	k l E m
klemlegging	k l E m l { x @ N
klep	k l E p
kleppe	k l E p @
klerasie	k l i@ r A: s i
klere	k l i@ r @
klerebedryf	k l i@ r @ b @ d r @i f
kleredrag	k l i@ r @ d r a x
klerekas	k l i@ r @ k a s
klerewinkel	k l i@ r @ v @ N k @ l
klerewinkels	k l i@ r @ v @ N k @ l s
klerk	k l { r k
klerksdorp	k l { r k s d O r p
klets	k l E t s
kleur	k l 2: r
kleure	k l 2: r @
kleurekstraksie	k l 2: r E k s t r a k s i
kleurfoto	k l 2: r f u@ t u
kleurlinge	k l 2: r l @ N @
kleurloos	k l 2: r l u@ s
kleurryke	k l 2: r r @i k @
kleurskema	k l 2: r s k i@ m a
kleurstof	k l 2: r s t O f
kleurvolle	k l 2: r f O l @
kleuter	k l 2: t @ r
kleuters	k l 2: t @ r s
kleuterskole	k l 2: t @ r s k u@ l @
kleuterskool	k l 2: t @ r s k u@ l
kliek	k l i k
kliere	k l i r @
klik	k l @ k
klim	k l @ m
klimaat	k l i m A: t
klimaatstoestande	k l i m A: t s t u s t a n d @
klimaatstreke	k l i m A: t s t r i@ k @
klimaatsverandering	k l i m A: t s f @ r a n d @ r @ N
klimaks	k l i m a k s
klimatologie	k l i m a t u l u x i
klimmers	k l @ m @ r s
klimslag	k l @ m s l a x
kliniek	k l @ n i k
klinieke	k l @ n i k @
klinies	k l i n i s
kliniese	k l i n i s @
klink	k l @ N k
klinkende	k l @ N k @ n d @
klinkklare	k l @ N k l A: r @
klip	k l @ p
klipgooiery	k l @ p x O:i @ r @i
kliphard	k l @ p h\ a r t
klipharde	k l @ p h\ a r d @
kliphuis	k l @ p h\ 9y s
klippe	k l @ p @
klippie	k l @ p i
klippies	k l @ p i s
klits	k l @ t s
kliënte	k l i E n t @
klofies	k l u@ f i s
klok	k l O k
klokkie	k l O k i
klomp	k l O m p
klompie	k l O m p i
klone	k l u@ n @
kloning	k l u@ n @ N
klonte	k l O n t @
kloof	k l u@ f
klooster	k l u@ s t @ r
kloosters	k l u@ s t @ r s
klop	k l O p
klopdisselboom	k l O p d @ s @ l b u@ m
klopjag	k l O p j a x
klopper	k l O p @ r
kloppers	k l O p @ r s
klopse	k l O p s @
klou	k l @u
kloue	k l @u @
klousule	k l @u s y l @
klousules	k l @u s y l @ s
klouter	k l @u t @ r
klowe	k l u@ v @
klub	k l 9 b
klubhuis	k l 9 b h\ 9y s
klubrugby	k l 9 b r a g b i
klubs	k l 9 b s
klubvlak	k l 9 b f l a k
klubwedstryd	k l 9 b v E t s t r @i t
klug	k l 9 x
kluis	k l 9y s
kluise	k l 9y s @
knaag	k n A: x
knaagdiere	k n A: x d i r @
knaend	k n A: @ n t
knak	k n a k
knal	k n a l
knap	k n a p
knapie	k n A: p i
knapsak	k n a p s a k
kneg	k n { x
knel	k n { l
knelpunt	k n { l p 9 n t
knelpunte	k n { l p 9 n t @
kneukels	k n 2: k @ l s
knie	k n i
kniebesering	k n i b @ s i@ r @ N
kniediep	k n i d i p
kniegewrig	k n i x @ v r @ x
kniehalter	k n i h\ a l t @ r
kniel	k n i l
knieë	k n i @
knik	k n @ k
knip	k n @ p
knipmes	k n @ p m E s
knoffel	k n O f @ l
knoffelhuisie	k n O f @ l h\ 9y s i
knoffelhuisies	k n O f @ l h\ 9y s i s
knolle	k n O l @
knoop	k n u@ p
knop	k n O p
knope	k n u@ p @
knopkieries	k n O p k i r i s
knoppe	k n O p @
knoppie	k n O p i
knoppies	k n O p i s
knormoer	k n O r m u r
knou	k n @u
knuppel	k n 9 p @ l
knus	k n 9 s
knyp	k n @i p
knypie	k n @i p i
koalisie	k u a l i s i
koalisieregering	k u a l i s i r @ x i@ r @ N
kobe	k u@ b @
kobraägtig	k u@ b r a a x t @ x
kode	k u@ d @
kodeks	k u@ d E k s
kodenaam	k u@ d @ n A: m
kodering	k u d i@ r @ N
kodes	k u@ d @ s
koedoe	k u d u
koedoes	k u d u s
koei	k ui
koeie	k ui @
koek	k u k
koeke	k u k @
koekie	k u k i
koekies	k u k i s
koekmeelblom	k u k m i@ l b l O m
koeksisters	k u k s @ s t @ r s
koeksoda	k u k s u@ d a
koel	k u l
koelbloedig	k u l b l u d @ x
koelbloedige	k u l b l u d @ x @
koeldrank	k u l d r a N k
koeldranke	k u l d r a N k @
koelkas	k u l k a s
koelkop	k u l k O p
koen	k u n
koepel	k u p @ l
koeplet	k u p l E t
koepons	k u p O n s
koer	k u r
koerant	k u r a n t
