'em	@ m
linoleum	l i n @u l i@ m
linotype	l ai n @u t ai p
linotypes	l ai n @u t ai p s
linseed	l @ n s i: d
lint	l @ n t
lintel	l @ n t @ l
lintels	l @ n t @ l z
linwood	l @ n w U d
lion	l ai @ n
lionel	l ai @ n @ l
lioness	l ai @ n E s
lionesses	l ai @ n E s @ s
lionize	l ai @ n ai z
lionized	l ai @ n ai z d
lionizes	l ai @ n ai z @ z
lionizing	l ai @ n ai z i N
lions	l ai @ n z
lip	l @ p
lipped	l @ p t
lips	l @ p s
lipstick	l @ p s t i k
lipsticks	l @ p s t i k s
liquefaction	l i k w i f { k S @ n
liquefied	l i k w @ f ai d
liquefies	l i k w @ f ai z
liquefy	l i k w @ f ai
liquefying	l i k w @ f ai i N
liquescent	l i k w E s @ n t
liqueur	l i k j u@ r\
liqueurs	l i k j u@ z
liquid	l i k w @ d
liquidate	l i k w @ d @i t
liquidated	l i k w @ d @i t @ d
liquidates	l i k w @ d @i t s
liquidating	l i k w @ d @i t i N
liquidation	l i k w @ d @i S @ n
liquidator	l i k w @ d @i t @ r\
liquidators	l i k w @ d @i t @ z
liquidity	l i k w i d i t i
liquidize	l i k w @ d ai z
liquidized	l i k w @ d ai z d
liquidizer	l i k w @ d ai z @ r\
liquidizers	l i k w @ d ai z @ z
liquidizes	l i k w @ d ai z @ z
liquidizing	l i k w @ d ai z i N
liquids	l i k w @ d z
liquor	l i k @ r\
liquorice	l i k @ r\ @ s
liquors	l i k @ z
lira	l i@ r\ @
liras	l i@ r\ @ z
lire	l i@ r\ @
lisa	l i: s @
lisbon	l @ z b @ n
liskeard	l i s k A: d
lisle	l ai l
lisp	l @ s p
lisped	l @ s p t
lisping	l i s p i N
lispingly	l i s p i N l i
lisps	l @ s p s
lissom	l @ s @ m
lissome	l @ s @ m
lissomness	l @ s @ m n @ s
list	l @ s t
listed	l @ s t @ d
listen	l @ s @ n
listened	l @ s @ n d
listener	l @ s n @ r\
listeners	l @ s n @ z
listening	l i s n i N
listens	l @ s @ n z
listing	l i s t i N
listings	l i s t i N z
listless	l @ s t l @ s
listlessly	l @ s t l i s l i
listlessness	l @ s t l @ s n @ s
lists	l i: s t s
lit	l @ t
litanies	l @ t @ n i z
litany	l @ t @ n i
litchee	l ai tS i
litchees	l ai tS i: z
litchi	l ai tS i
litchis	l ai tS i: z
liter	l i: t @ r\
literacy	l @ t @ r\ @ s i
literal	l @ t @ r\ @ l
literally	l @ t @ r\ @ l i
literals	l @ t @ r\ @ l z
literary	l @ t @ r\ @ r\ i
literate	l @ t @ r\ @ t
literates	l @ t @ r\ @ t s
literati	l @ t @ r\ A: t i
literature	l @ t r\ @ tS @ r\
lithe	l ai D
lithograph	l @ T @ g r\ A: f
lithographed	l @ T @ g r\ A: f t
lithographic	l @ T @ g r\ { f i k
lithographing	l @ T @ g r\ A: f i N
lithographs	l @ T @ g r\ A: f s
lithography	l i T Q g r\ @ f i
litigant	l i t i g @ n t
litigants	l i t i g @ n t s
litigate	l i t i g @i t
litigated	l i t i g @i t @ d
litigates	l i t i g @i t s
litigating	l i t i g @i t i N
litigation	l i t i g @i S @ n
litigious	l i t i d0Z @ s
litmus	l @ t m @ s
litotes	l ai t @u t i: z
litre	l i: t @ r\
litres	l i: t @ z
litter	l @ t @ r\
litterbin	l @ t @ b @ n
litterbins	l @ t @ b @ n z
littered	l @ t @ d
littering	l @ t @ r\ i N
litters	l @ t @ z
little	l @ t l @
littlehampton	l @ t @ l h\ { m t @ n
littleness	l @ t l n @ s
littler	l @ t l @ r\
littlest	l @ t l @ s t
littoral	l @ t @ r\ @ l
littorals	l @ t @ r\ @ l z
liturgical	l i t 3: d0Z i k @ l
liturgies	l @ t @ d0Z i z
liturgy	l @ t @ d0Z i
livable	l @ v @ b @ l
live	l ai v
liveable	l @ v @ b @ l
lived	l @ v d
livelier	l ai v l i@ r\
liveliest	l ai v l i @ s t
livelihood	l ai v l i h\ U d
livelihoods	l ai v l i h\ U d z
liveliness	l ai v l @ n @ s
livelong	l @ v l Q N
lively	l ai v l i
liven	l ai v @ n
livened	l ai v @ n d
livening	l ai v n i N
livens	l ai v @ n z
liver	l @ v @ r\
liveried	l @ v @ r\ i d
liveries	l @ v @ r\ i z
liverish	l @ v @ r\ i S
liverpool	l @ v @ p u: l
liverpudlian	l @ v @ p a d l i@ n
liverpudlians	l @ v @ p a d l i@ n z
livers	l @ v @ z
liverwurst	l @ v @ w 3: s t
livery	l @ v @ r\ i
liveryman	l @ v @ r\ i m { n
liverymen	l @ v @ r\ i m E n
lives	l ai v z
livestock	l ai v s t Q k
livid	l @ v @ d
lividly	l @ v @ d l i
living	l i v i N
livings	l i v i N z
livingston	l i v i N s t @ n
livorno	l i v O: n @u
liz	l @ z
liza	l ai z @
lizard	l @ z @ d
lizards	l @ z @ d z
lizzy	l i z i
ljubljana	l j u: b l i A: n @
llama	l A: m @
llamas	l A: m @ z
llandudno	l { n d @ d n @u
llanelli	l { n E T l i
llangollen	l { n g Q T l @ n
llantrisant	l { n t r\ @ z @ n t
lloyd's	l Oi d z
lo	l @u
load	l @u d
loaded	l @u d @ d
loader	l @u d @ r\
loaders	l @u d @ z
loading	l @u d i N
loadings	l @u d i N z
loads	l @u d z
loadstar	l @u d s t A: r\
loadstars	l @u d s t A: z
loadstone	l @u d s t @u n
loaf	l @u f
loafed	l @u f t
loafer	l @u f @ r\
loafers	l @u f @ z
loafing	l @u f i N
loafs	l @u f s
loam	l @u m
loamier	l @u m i@ r\
loamiest	l @u m i @ s t
loamy	l @u m i
loan	l @u n
loaned	l @u n d
loanhead	l @u n h\ E d
loaning	l @u n i N
loans	l @u n z
loanword	l @u n w 3: d
loanwords	l @u n w 3: d z
loath	l @u T
loathe	l @u D
loathed	l @u D d
loathes	l @u D z
loathing	l @u D i N
loathlier	l @u T l i@ r\
loathliest	l @u T l i @ s t
loathly	l @u T l i
loathsome	l @u D s @ m
loaves	l @u v z
lob	l Q b
lobbed	l Q b d
lobbied	l Q b i d
lobbies	l Q b i z
lobbing	l Q b i N
lobby	l Q b i
lobbying	l Q b i i N
lobbyist	l Q b i @ s t
lobbyists	l Q b i @ s t s
lobe	l @u b
lobed	l @u b d
lobes	l @u b z
lobs	l Q b z
lobster	l Q b s t @ r\
lobsters	l Q b s t @ z
local	l @u k @ l
locale	l @u k A: l
locales	l @u k A: l z
localism	l @u k @ l @ z @ m
localisms	l @u k @ l @ z @ m z
localities	l @u k { l i t i z
locality	l @u k { l i t i
localization	l @u k @ l ai z @i S @ n
localizations	l @u k @ l ai z @i S @ n z
localize	l @u k @ l ai z
localized	l @u k @ l ai z d
localizes	l @u k @ l ai z @ z
localizing	l @u k @ l ai z i N
locally	l @u k @ l i
locals	l @u k @ l z
locate	l @u k @i t
located	l @u k @i t @ d
locates	l @u k @i t s
locating	l @u k @i t i N
location	l @u k @i S @ n
locations	l @u k @i S @ n z
loch	l Q k
lochgelly	l Q k g E l i
lochs	l Q k s
loci	l @u s ai
lock	l Q k
locked	l Q k t
locker	l Q k @ r\
lockers	l Q k @ z
locket	l Q k @ t
lockets	l Q k @ t s
locking	l Q k i N
lockjaw	l Q k d0Z O:
locknut	l Q k n a t
locknuts	l Q k n a t s
lockout	l Q k au t
lockouts	l Q k au t s
locks	l Q k s
locksmith	l Q k s m @ T
locksmiths	l Q k s m @ T s
lockstitch	l Q k s t i tS
lockstitches	l Q k s t i tS @ z
lockup	l Q k a p
lockups	l Q k a p s
loco	l @u k @u
locomotion	l @u k @ m @u S @ n
locomotive	l @u k @ m @u t @ v
locomotives	l @u k @ m @u t @ v z
locum	l @u k @ m
locums	l @u k @ m z
locus	l @u k @ s
locust	l @u k @ s t
locusts	l @u k @ s t s
locution	l @ k j u: S @ n
locutions	l @ k j u: S @ n z
lode	l @u d
lodes	l @u d z
lodestar	l @u d s t A: r\
lodestars	l @u d s t A: z
lodestone	l @u d s t @u n
lodge	l Q d0Z
lodged	l Q d0Z d
lodgement	l Q d0Z m @ n t
lodgements	l Q d0Z m @ n t s
lodger	l Q d0Z @ r\
lodgers	l Q d0Z @ z
lodges	l Q d0Z @ z
lodging	l Q d0Z i N
lodgings	l Q d0Z i N z
lodgment	l Q d0Z m @ n t
lodgments	l Q d0Z m @ n t s
lodz	l Q d z
loess	l @u E s
loft	l Q f t
lofted	l Q f t @ d
loftier	l Q f t i@ r\
loftiest	l Q f t i @ s t
loftily	l Q f t i l i
loftiness	l Q f t @ n @ s
lofting	l Q f t i N
lofts	l Q f t s
loftus	l Q f t @ s
lofty	l Q f t i
log	l Q g
loganberries	l @u g @ n b E r\ i z
loganberry	l @u g @ n b E r\ i
logarithm	l Q g @ r\ @ D @ m
logarithmic	l Q g @ r\ @ D m i k
logarithmically	l Q g @ r\ @ D m i k l i
logarithms	l Q g @ r\ @ D @ m z
logbook	l Q g b U k
logbooks	l Q g b U k s
logged	l Q g d
loggerheads	l Q g @ h\ E d z
loggia	l Q d0Z i@
loggias	l Q d0Z i@ z
logging	l Q g i N
logic	l Q d0Z i k
logical	l Q d0Z i k @ l
logicality	l Q d0Z i k { l i t i
logically	l Q d0Z i k l i
logician	l @ d0Z i S @ n
logicians	l @ d0Z i S @ n z
logics	l Q d0Z i k s
logistics	l @ d0Z i s t i k s
logs	l Q g z
loin	l Oi n
loincloth	l Oi n k l Q T
loincloths	l Oi n k l Q T s
loins	l Oi n z
lois	l @u @ s
loiter	l Oi t @ r\
loitered	l Oi t @ d
loiterer	l Oi t @ r\ @ r\
loiterers	l Oi t @ r\ @ z
loitering	l Oi t @ r\ i N
loiters	l Oi t @ z
loll	l Q l
lolled	l Q l d
lollies	l Q l i z
lolling	l Q l i N
lollipop	l Q l i p Q p
lollipops	l Q l i p Q p s
lolls	l Q l z
lolly	l Q l i
lomas	l @u m { s
london	l a n d @ n
londonderry	l a n d @ n d E r\ i
londoner	l a n d @ n @ r\
londoners	l a n d @ n @ z
lone	l @u n
lonelier	l @u n l i@ r\
loneliest	l @u n l i @ s t
loneliness	l @u n l @ n @ s
lonely	l @u n l i
lonesome	l @u n s @ m
long	l Q N
longboat	l Q N b @u t
longboats	l Q N b @u t s
longbow	l Q N b au
longbows	l Q N b au z
longed	l Q N d
longer	l Q N g @ r\
longest	l Q N g @ s t
longevity	l Q n d0Z E v i t i
longhand	l Q N h\ { n d
longing	l Q N i N
longingly	l Q N i N l i
longings	l Q N i N z
longish	l Q N i S
longitude	l Q n d0Z i t j u: d
longitudes	l Q n d0Z i t j u: d z
longitudinal	l Q n d0Z i t j u: d @ n @ l
longitudinally	l Q n d0Z i t j u: d @ n @ l i
longridge	l Q N r\ i d0Z
longs	l Q N z
longshoreman	l Q N S O: m @ n
longshoremen	l Q N S O: m @ n
longtime	l Q N t ai m
longton	l Q N t @ n
longways	l Q N w @i z
longwise	l Q N w ai z
lonrho	l O: n r\ @u
loo	l u:
loofa	l u: f @
loofah	l u: f @
loofahs	l u: f @ z
loofas	l u: f @ z
look	l U k
looked	l U k t
looker	l U k @ r\
lookers	l U k @ z
looking	l U k i N
lookout	l U k au t
lookouts	l U k au t s
looks	l U k s
loom	l u: m
loomed	l u: m d
looming	l u: m i N
looms	l u: m z
loon	l u: n
loonier	l u: n i@ r\
loonies	l u: n i z
looniest	l u: n i @ s t
loons	l u: n z
loony	l u: n i
loonybin	l u: n @ b @ n
loonybins	l u: n @ b @ n z
loop	l u: p
looped	l u: p t
loophole	l u: p h\ @u l
loopholes	l u: p h\ @u l z
looping	l u: p i N
loops	l u: p s
loopy	l u: p i
loos	l u: z
loose	l u: s
loosed	l u: s t
loosely	l u: s l i
loosen	l u: s @ n
loosened	l u: s @ n d
loosening	l u: s n i N
loosens	l u: s @ n z
looser	l u: s @ r\
looses	l u: s @ s
loosest	l u: s @ s t
loosing	l u: s i N
loot	l u: t
looted	l u: t @ d
looter	l u: t @ r\
looters	l u: t @ z
looting	l u: t i N
loots	l u: t s
lop	l Q p
lope	l @u p
loped	l @u p t
lopes	l @u p s
lopez	l @u p E z
loping	l @u p i N
lopped	l Q p t
lopping	l Q p i N
lops	l Q p s
lopsided	l Q p s ai d @ d
loquacious	l @ k w @i S @ s
loquaciously	l @ k w @i S @ s l i
loquaciousness	l @ k w @i S @ s n @ s
loquacity	l @ k w { s i t i
loquat	l @u k w Q t
loquats	l @u k w Q t s
lor	l O: r\
lord	l O: d
lorded	l O: d @ d
lording	l O: d i N
lordless	l O: d l @ s
lordlier	l O: d l i@ r\
lordliest	l O: d l i @ s t
lordliness	l O: d l @ n @ s
lordly	l O: d l i
lords	l O: d z
lordship	l O: d S @ p
lordships	l O: d S @ p s
lore	l O: r\
loren	l O: r\ @ n
lorenzo	l O: r\ E n z @u
lorgnette	l O: n j E t
lorgnettes	l O: n j E t s
lorillard	l Q r\ @ l A: d
lorin	l O: r\ @ n
lorn	l O: n
lorna	l O: n @
lorries	l Q r\ i z
lorry	l Q r\ i
lose	l u: z
loser	l u: z @ r\
losers	l u: z @ z
loses	l u: z @ z
losing	l u: z i N
loss	l Q s
losses	l Q s @ s
lossiemouth	l Q s @ m @ T
lost	l Q s t
lot	l Q t
loth	l @u T
lothian	l @u D i@ n
lotion	l @u S @ n
lotions	l @u S @ n z
lots	l Q t s
lotteries	l Q t @ r\ i z
lottery	l Q t @ r\ i
lotto	l Q t @u
lotus	l @u t @ s
lotuses	l @u t @ s @ s
lou	l u:
loud	l au d
louder	l au d @ r\
loudest	l au d @ s t
loudly	l au d l i
loudness	l au d n @ s
loudspeaker	l au d s p i: k @ r\
loudspeakers	l au d s p i: k @ z
lough	l Q k
loughborough	l a f b r\ @
loughs	l Q k s
louis	l u: i
louise	l u: i: z
louisiana	l u: i: z i { n @
louisville	l u: @ v @ l
lounge	l au n d0Z
lounged	l au n d0Z d
lounger	l au n d0Z @ r\
loungers	l au n d0Z @ z
lounges	l au n d0Z @ z
lounging	l au n d0Z i N
lour	l au @ r\
lourdes	l u: r\ @ d z
loured	l au @ d
louring	l au @ r\ i N
louringly	l au @ r\ i N l i
lours	l au @ z
louse	l au s
lousier	l au z i@ r\
lousiest	l au z i @ s t
lousy	l au z i
lout	l au t
louth	l au D
loutish	l au t i S
louts	l au t s
louvered	l u: v @ d
louvre	l u: v @ r\
louvres	l u: v @ z
lovable	l a v @ b @ l
love	l a v
lovebird	l a v b 3: d
lovebirds	l a v b 3: d z
loved	l a v d
loveless	l a v l @ s
lovelier	l a v l i@ r\
loveliest	l a v l i @ s t
loveliness	l a v l @ n @ s
lovelorn	l a v l O: n
lovely	l a v l i
lovemaking	l a v m @i k i N
lover	l a v @ r\
loverlike	l a v @ l ai k
lovers	l a v @ z
loves	l a v z
lovesick	l a v s i k
loving	l a v i N
lovingly	l a v i N l i
low	l @u
lowborn	l @u b O: n
lowbred	l @u b r\ E d
lowbrow	l @u b r\ au
lowbrows	l @u b r\ au z
lowed	l @u d
lowell	l au @ l
lower	l au @ r\
lowered	l au @ d
lowering	l au @ r\ i N
lowermost	l @u @ m @u s t
lowers	l au @ z
lowest	l @u @ s t
lowestoft	l @u i s t Q f t
lowing	l @u i N
lowlander	l @u l @ n d @ r\
lowlanders	l @u l @ n d @ z
lowlands	l @u l @ n d z
lowlier	l @u l i@ r\
lowliest	l @u l i @ s t
lowliness	l @u l @ n @ s
lowly	l @u l i
lowness	l @u n E s
lows	l @u z
loyal	l Oi @ l
loyalist	l Oi @ l @ s t
loyalists	l Oi @ l @ s t s
loyaller	l Oi @ l @ r\
loyallest	l Oi @ l @ s t
loyally	l Oi @ l i
loyalties	l Oi @ l t i z
loyalty	l Oi @ l t i
loyang	l @u j A: N
lozenge	l Q z i n d0Z
lozenges	l Q z i n d0Z @ z
lubber	l a b @ r\
lubberly	l a b @ l i
lubbers	l a b @ z
lubeck	l u: b E k
lubricant	l u: b r\ i k @ n t
lubricants	l u: b r\ i k @ n t s
lubricate	l u: b r\ i k @i t
lubricated	l u: b r\ i k @i t @ d
lubricates	l u: b r\ i k @i t s
lubricating	l u: b r\ i k @i t i N
lubrication	l u: b r\ i k @i S @ n
lubrications	l u: b r\ i k @i S @ n z
lucas	l u: k @ s
lucent	l u: s @ n t
lucerne	l u: s 3: n
lucid	l u: s @ d
lucidity	l u: s i d i t i
lucidly	l u: s @ d l i
lucifer	l u: s @ f @ r\
lucifers	l u: s @ f @ z
lucille	l u: s i: l
luck	l a k
luckier	l a k i@ r\
luckiest	l a k i @ s t
luckily	l a k i l i
luckless	l a k l @ s
lucknow	l a k n au
lucky	l a k i
lucrative	l u: k r\ @ t @ v
lucre	l u: k @ r\
lucy	l u: s i
luddite	l a d ai t
luddites	l a d ai t s
ludicrous	l u: d i k r\ @ s
ludicrously	l u: d i k r\ @ s l i
ludlow	l a d l @u
ludo	l u: d @u
ludtke	l a d k @
ludwigshafen	l a d v i g z h\ A: f @ n
luff	l a f
luffed	l a f t
luffing	l a f i N
luffs	l a f s
lufthansa	l u: f t h\ { n s @
lug	l a g
luge	l u: Z
luges	l u: Z @ z
luggage	l a g i d0Z
lugged	l a g d
lugger	l a g @ r\
luggers	l a g @ z
lugging	l a g i N
lugs	l a g z
lugsail	l a g s @i l
lugsails	l a g s @i l z
lugubrious	l @ g u: b r\ i@ s
lugubriously	l @ g u: b r\ i@ s l i
lugubriousness	l @ g u: b r\ i@ s n @ s
luke	l u: k
lukewarm	l u: k w O: m
lukewarmly	l u: k w O: m l i
lukewarmness	l u: k w O: m n @ s
lull	l a l
lullabies	l a l @ b ai z
lullaby	l a l @ b ai
lulled	l a l d
lulling	l a l i N
lulls	l a l z
lumbago	l a m b @i g @u
lumbar	l a m b @ r\
lumber	l a m b @ r\
lumbered	l a m b @ d
lumbering	l a m b @ r\ i N
lumberjack	l a m b @ d0Z { k
lumberjacks	l a m b @ d0Z { k s
lumberman	l a m b @ m { n
lumbermen	l a m b @ m E n
lumberroom	l a m b @ r\ u: m
lumberrooms	l a m b @ r\ u: m z
lumbers	l a m b @ z
lumberyard	l a m b @ j A: d
lumberyards	l a m b @ j A: d z
luminaries	l u: m @ n @ r\ i z
luminary	l u: m @ n @ r\ i
luminosity	l u: m i n Q s i t i
luminous	l u: m @ n @ s
lumme	l a m i
lummy	l a m i
lump	l a m p
lumped	l a m p t
lumpier	l a m p i@ r\
lumpiest	l a m p i @ s t
lumping	l a m p i N
lumpish	l a m p i S
lumps	l a m p s
lumpur	l u: m p 3:
lumpy	l a m p i
lunacies	l u: n @ s i s
lunacy	l u: n @ s i
lunar	l u: n @ r\
lunatic	l u: n @ t i k
lunatics	l u: n @ t i k s
lunch	l a n tS
lunched	l a n tS t
luncheon	l a n tS @ n
luncheons	l a n tS @ n z
lunches	l a n tS @ z
lunching	l a n tS i N
lunchtime	l a n tS t ai m
lunchtimes	l a n tS t ai m z
lung	l a N
lunge	l a n d0Z
lunged	l a n d0Z d
lunges	l a n d0Z @ z
lunging	l a n d0Z i N
lungs	l a N z
lupin	l u: p @ n
lupins	l u: p @ n z
lurch	l 3: tS
lurched	l 3: tS t
lurcher	l 3: tS @ r\
lurchers	l 3: tS @ z
lurches	l 3: tS @ z
lurching	l 3: tS i N
lure	l u@ r\
lured	l u@ d
lures	l u@ z
lurid	l u@ r\ @ d
luridly	l u@ r\ @ d l i
luridness	l u@ r\ @ d n @ s
luring	l u@ r\ i N
lurk	l 3: k
lurked	l 3: k t
lurking	l 3: k i N
lurks	l 3: k s
luscious	l a S @ s
lusciously	l a S @ s l i
lusciousness	l a S @ s n @ s
lush	l a S
lusher	l a S @ r\
lushes	l a S @ z
lushest	l a S @ s t
lust	l a s t
lusted	l a s t @ d
lustful	l a s t f @ l
lustfully	l a s t f @ l i
lustier	l a s t i@ r\
lustiest	l a s t i @ s t
lustily	l a s t i l i
lusting	l a s t i N
lustre	l a s t @ r\
lustrous	l a s t r\ @ s
lusts	l a s t s
lusty	l a s t i
luta	l u: t @
lutanist	l u: t @ n @ s t
lutanists	l u: t @ n @ s t s
lute	l u: t
lutenist	l u: t @ n @ s t
lutenists	l u: t @ n @ s t s
lutes	l u: t s
luther	l U T @ r\
lutheran	l u: T @ r\ @ n
lutherans	l u: T @ r\ @ n z
luton	l u: t @ n
luxe	l a k s
luxembourg	l a k s @ m b 3: g
luxemburg	l a k s @ m b 3: g
luxemburger	l a k s @ m b 3: g @ r\
luxemburgers	l a k s @ m b 3: g @ z
luxuriance	l a g Z u@ r\ i@ n s
luxuriant	l a g Z u@ r\ i@ n t
luxuriantly	l a g Z u@ r\ i@ n t l i
luxuriate	l a g Z u@ r\ i @i t
luxuriates	l a g Z u@ r\ i @i t s
luxuriating	l a g Z u@ r\ i @i t i N
luxuries	l a k S @ r\ i z
luxurious	l a g Z u@ r\ i@ s
luxuriously	l a g Z u@ r\ i@ s l i
luxury	l a k S @ r\ i
luzon	l u: z Q n
lyallpur	l ai @ l p u: @ r\
lyceum	l ai s i: @ m
lyceums	l ai s i: @ m z
lychee	l ai tS i
lychees	l ai tS i: z
lychgate	l i tS g @i t
lychgates	l i tS g @i t s
lydia	l i d i@
lydney	l @ d n i
lye	l ai
lyes	l ai z
lying	l ai i N
lymington	l i m i N t @ n
lymm	l @ m
lymph	l @ m f
lymphatic	l @ m f { t i k
lynch	l i n tS
lynched	l i n tS t
lynches	l i n tS @ z
lynching	l i n tS i N
lynchpin	l i n tS p @ n
lynchpins	l i n tS p @ n z
lynn	l @ n
lynne	l @ n
lynx	l i N k s
lynxes	l i N k s @ s
lyonnais	l @i @ n @i z
lyons	l ai @ n z
lyre	l ai @ r\
lyres	l ai @ z
lyric	l i r\ i k
lyrical	l i r\ i k @ l
lyrically	l i r\ i k l i
lyricism	l @ r\ @ s @ z @ m
lyricist	l @ r\ @ s @ s t
lyricists	l @ r\ @ s @ s t s
lyrics	l i r\ i k s
lysander	l ai s { n d @ r\
lysol	l ai s Q l
lytham	l @ D @ m
m's	E m z
ma	m A:
ma'am	m { m
maastricht	m A: s t r\ i k t
mabel	m @i b @ l
mac	m { k
macabre	m @ k A: b r\ @
macadam	m @ k { d @ m
macadamize	m @ k { d @ m ai z
macadamized	m @ k { d @ m ai z d
macadamizes	m @ k { d @ m ai z @ z
macadamizing	m @ k { d @ m ai z i N
macaroni	m { k @ r\ @u n i
macaroon	m { k @ r\ u: n
macaroons	m { k @ r\ u: n z
macaw	m @ k O:
macaws	m @ k O: z
macbeth	m { k b E T
macclesfield	m { k @ l z f i: l d
mace	m @i s
macedonian	m { s i d @u n i@ n
macedonians	m { s i d @u n i@ n z
macerate	m { s @ r\ @i t
macerated	m { s @ r\ @i t @ d
macerates	m { s @ r\ @i t s
macerating	m { s @ r\ @i t i N
maces	m @i s @ s
mach	m A: k
machete	m @ tS E t i
machetes	m @ tS E t @ z
machiavellian	m { k i@ v E l i@ n
machiguenga	m { tS i g w E n g @
machination	m { k i n @i S @ n
machinations	m { k i n @i S @ n z
machine	m @ S i: n
machined	m @ S i: n d
machinery	m @ S i: n @ r\ i
machines	m @ S i: n z
machining	m @ S i: n i N
machinist	m @ S i: n @ s t
machinists	m @ S i: n @ s t s
machismo	m @ tS @ z m @u
macho	m { tS @u
macintosh	m { k i n t Q S
mackerel	m { k r\ @ l
mackintosh	m { k i n t Q S
mackintoshes	m { k i n t Q S @ z
maclean	m @ k l i: n
macmillan	m @ k m @ l @ n
macrobiotic	m { k r\ @u b ai Q t i k
macrocosm	m { k r\ @u k Q z @ m
macrocosms	m { k r\ @u k Q z @ m z
macrodantin	m { k r\ @u d { n t @ n
macs	m { k s
mad	m { d
madagascan	m { d @ g { s k @ n
madagascans	m { d @ g { s k @ n z
madagascar	m { d @ g { s k @ r\
madam	m { d @ m
madame	m @ d A: m
madames	m @ d A: m z
madams	m { d @ m z
madcap	m { d k { p
madcaps	m { d k { p s
madden	m { d @ n
maddened	m { d @ n d
maddening	m { d n i N
maddens	m { d @ n z
madder	m { d @ r\
maddest	m { d @ s t
maddy	m { d i
made	m @i d
madeira	m @ d i@ r\ @
madeiras	m @ d i@ r\ @ z
madeleine	m { d @ l @ n
mademoiselle	m { d m w @ z E l
mademoiselles	m { d m w @ z E l z
madge	m { d0Z
madhouse	m { d h\ au s
madhouses	m { d h\ au z @ z
madison	m { d @ s @ n
madly	m { d l i
madman	m { d m @ n
madmen	m { d m @ n
madness	m { d n @ s
madonna	m @ d Q n @
madonnas	m @ d Q n @ z
madras	m @ d r\ A: s
madrid	m @ d r\ @ d
madrigal	m { d r\ i g @ l
madrigals	m { d r\ i g @ l z
madurai	m { d j a r\ ai
madwoman	m { d w U m @ n
madwomen	m { d w @ m @ n
mae	m @i
maecenas	m ai s i: n @ s
maelstrom	m @i l s t r\ @ m
maelstroms	m @i l s t r\ @ m z
maenad	m i: n { d
maenads	m i: n { d z
maesteg	m ai s t E g
maestri	m ai s t r\ i
maestro	m ai s t r\ @u
maestros	m ai s t r\ @u z
maffick	m { f i k
mafficked	m { f i k t
mafficking	m { f i k i N
mafficks	m { f i k s
mafia	m { f i@
mafias	m { f i@ z
mag	m { g
magazine	m { g @ z i: n
magazines	m { g @ z i: n z
magdeburg	m { g d i b 3: g
magellan	m { g E l @ n
magenta	m @ d0Z E n t @
maggie	m { g i
maggot	m { g @ t
maggots	m { g @ t s
maggoty	m { g @ t i
maghull	m @ g a l
magi	m @i d0Z ai
magic	m { d0Z i k
magical	m { d0Z i k @ l
magically	m { d0Z i k l i
magician	m @ d0Z i S @ n
magicians	m @ d0Z i S @ n z
magisterial	m { d0Z i s t i@ r\ i@ l
magisterially	m { d0Z i s t i@ r\ i@ l i
magistracies	m { d0Z @ s t r\ @ s i s
magistracy	m { d0Z @ s t r\ @ s i
magistrate	m { d0Z @ s t r\ @i t
magistrates	m { d0Z @ s t r\ @i t s
magnanimities	m { g n @ n i m i t i z
magnanimity	m { g n @ n i m i t i
magnanimous	m { g n { n @ m @ s
magnanimously	m { g n { n @ m @ s l i
magnate	m { g n @i t
magnates	m { g n @i t s
magnesia	m { g n i: S @
magnesium	m { g n i: z i@ m
magnet	m { g n @ t
magnetic	m { g n E t i k
magnetically	m { g n E t i k l i
magnetism	m { g n @ t @ z @ m
magnetization	m { g n @ t ai z @i S @ n
magnetize	m { g n @ t ai z
magnetized	m { g n @ t ai z d
magnetizes	m { g n @ t ai z @ z
magnetizing	m { g n @ t ai z i N
magneto	m { g n i: t @u
magnetos	m { g n i: t @u z
magnets	m { g n @ t s
magnificat	m { g n i f i k { t
magnification	m { g n i f i k @i S @ n
magnifications	m { g n i f i k @i S @ n z
magnificats	m { g n i f i k { t s
magnificence	m { g n @ f @ s @ n s
magnificent	m { g n @ f @ s @ n t
magnificently	m { g n @ f @ s @ n t l i
magnified	m { g n @ f ai d
magnifier	m { g n @ f ai @ r\
magnifiers	m { g n @ f ai @ z
magnifies	m { g n @ f ai z
magnify	m { g n @ f ai
magnifying	m { g n @ f ai i N
magniloquence	m { g n @ l @ k w @ n s
magniloquent	m { g n @ l @ k w @ n t
magniloquently	m { g n @ l @ k w @ n t l i
magnitude	m { g n i t j u: d
magnolia	m { g n @u l i@
magnolias	m { g n @u l i@ z
magnum	m { g n @ m
magnums	m { g n @ m z
magpie	m { g p ai
magpies	m { g p ai z
mags	m { g z
magubane	m { g U b { n i
maguire	m @ g w ai @ r\
magyar	m { g j A: r\
magyars	m { g j A: z
mahal	m @ h\ { l
maharaja	m A: h\ @ r\ A: d0Z @
maharajah	m A: h\ @ r\ A: d0Z @
maharajahs	m A: h\ @ r\ A: d0Z @ z
maharajas	m A: h\ @ r\ A: d0Z @ z
maharanee	m A: h\ @ r\ A: n i
maharanees	m A: h\ @ r\ A: n i: z
mahatma	m @ h\ { t m @
mahatmas	m @ h\ { t m @ z
mahfouz	m A: f u: z
mahjong	m A: d0Z Q N
mahoganies	m @ h\ Q g @ n i z
