can't	k> a n t>
mmetli	m m E tl> i
mmetsa	m m E ts> a
mmetse	m m E ts> E
mmetseng	m m E ts> E N
mmetshe	m m E tsh E
mmidi	m m i d i
mmiding	m m i d i N
mmila	m m i l a
mmileng	m m i l E N
mmiletsa	m m i l E ts> a
mmiletsang	m m i l E ts> a N
mmina	m m i n a
mmino	m m i n O
mminong	m m i n O N
mmitara	m m i t> a r a
mmitsa	m m i ts> a
mmitse	m m i ts> E
mmofolola	m m O f O l O l a
mmoga	m m O x a
mmogedi	m m O x E d i
mmogisa	m m O x i s a
mmogo	m m O x O
mmoifa	m m O i f a
mmoifang	m m O i f a N
mmoki	m m O k> i
mmoko	m m O k> O
mmolaela	m m O l a E l a
mmolaetse	m m O l a E ts> E
mmolaile	m m O l a i l E
mmolai	m m O l a i
mmolaya	m m O l a j a
mmoledi	m m O l E d i
mmolelela	m m O l E l E l a
mmolelelang	m m O l E l E l a N
mmolelele	m m O l E l E l E
mmoleletse	m m O l E l E ts> E
mmoloke	m m O l O k> E
mmoloki	m m O l O k> i
mmonang	m m O n a N
mmone	m m O n E
mmoneng	m m O n E N
mmontsha	m m O n tsh a
mmontshitse	m m O n tsh i ts> E
mmopa	m m O p> a
mmopi	m m O p> i
mmoping	m m O p> i N
mmopo	m m O p> O
mmopong	m m O p> O N
mmotlana	m m O tl> a n a
mmotlolo	m m O tl> O l O
mmoto	m m O t> O
mmotsa	m m O ts> a
mmuaesi	m m u a E s i
mmueleding	m m u E l E d i N
mmugodimo	m m u x O d i m O
mmugodimong	m m u x O d i m O N
mmui	m m u i
mmuisa	m m u i s a
mmuisano	m m u i s a n O
mmuisanong	m m u i s a n O N
mmuisi	m m u i s i
mmuisiwa	m m u i s i w a
mmuledisa	m m u l E d i s a
mmu	m m u
mmung	m m u N
mmuo	m m u O
mmusakgotla	m m u s a kx O tl> a
mmusa	m m u s a
mmusi	m m u s i
mmusisi	m m u s i s i
mmuso	m m u s O
mmusong	m m u s O N
mmutla	m m u tl> a
mmutlwa	m m u tl> w a
moabi	m O a b i
moadimi	m O a d i m i
moadingwa	m O a d i N w a
moagi	m O a x i
moagisane	m O a x i s a n E
moagisani	m O a x i s a n i
moagisaning	m O a x i s a n i N
moagisi	m O a x i s i
moago	m O a x O
moagong	m O a x O N
moakanyetsi	m O a k> a J E ts> i
moakanyetso	m O a k> a J E ts> O
moalafi	m O a l a f i
moalogi	m O a l O x i
moalo	m O a l O
moalong	m O a l O N
moamogedi	m O a m O x E d i
moamogeding	m O a m O x E d i N
moanelwamogolo	m O a n E l w a m O x O l O
moano	m O a n O
moapari	m O a p> a r i
moaparo	m O a p> a r O
moapei	m O a p> E i
moari	m O a r i
moatlhodi	m O a tlh O d i
moatlhodimogolo	m O a tlh O d i m O x O l O
moatlhodisi	m O a tlh O d i s i
moatshe	m O a tsh E
modibo	m O d i b O
modidi	m O d i d i
modiga	m O d i x a
modikologa	m O d i k> O l O x a
modikologo	m O d i k> O l O x O
modiko	m O d i k> O
modikong	m O d i k> O N
modi	m O d i
moding	m O d i N
modiragatsi	m O d i r a x a ts> i
modiragatsimogolo	m O d i r a x a ts> i m O x O l O
modirakopo	m O d i r a k> O p> O
modirammogo	m O d i r a m m O x O
modira	m O d i r a
modiramolato	m O d i r a m O l a t> O
modirediloago	m O d i r E d i l O a x O
modiredi	m O d i r E d i
modireding	m O d i r E d i N
modiredipuso	m O d i r E d i p> u s O
modirelaloago	m O d i r E l a l O a x O
modirelwa	m O d i r E l w a
modiri	m O d i r i
modirisani	m O d i r i s a n i
modirisi	m O d i r i s i
modirising	m O d i r i s i N
modirisong	m O d i r i s O N
modiro	m O d i r O
modirong	m O d i r O N
modisa	m O d i s a
moditona	m O d i t> O n a
moditšhaba	m O d i tSh a b a
moduedi	m O d u E d i
moduelalekgetho	m O d u E l a l E kx E th O
modula	m O d u l a
modulasetilo	m O d u l a s E t> i l O
modumedi	m O d u m E d i
modumo	m O d u m O
modumong	m O d u m O N
modutu	m O d u t> u
modutwaneng	m O d u t> w a n E N
moedi	m O E d i
moela	m O E l a
moelatlhoko	m O E l a tlh O k> O
moele	m O E l E
moemakgatlhanong	m O E m a kx a tlh a n O N
moemanokeng	m O E m a n O k> E N
moemedi	m O E m E d i
moemeding	m O E m E d i N
moengele	m O E N x E l E
moeng	m O E N
moenjenere	m O E n d0Z E n E r E
moento	m O E n t> O
moepo	m O E p> O
moepong	m O E p> O N
moetapele	m O E t> a p> E l E
moeteledipele	m O E t> E l E d i p> E l E
moeti	m O E t> i
moetleetsi	m O E tl> E E ts> i
moetlo	m O E tl> O
mofama	m O f a m a
mofameng	m O f a m E N
mofatlhosi	m O f a tlh O s i
mofenyi	m O f E J i
mofero	m O f E r O
moferong	m O f E r O N
mofetoledi	m O f E t> O l E d i
mofetoleding	m O f E t> O l E d i N
mofokotso	m O f O k> O ts> O
mofufutso	m O f u f u ts> O
mofu	m O f u
mofuta	m O f u t> a
mofuteng	m O f u t> E N
mogadibo	m O x a d i b O
mogaeno	m O x a E n O
mogaetsho	m O x a E tsh O
mogaka	m O x a k> a
mogakolodi	m O x a k> O l O d i
mogalammakapaa	m O x a l a m m a k> a p> a
mogala	m O x a l a
mogale	m O x a l E
mogaleng	m O x a l E N
mogami	m O x a m i
mogapatiro	m O x a p> a t> i r O
mogasi	m O x a s i
mogatla	m O x a tl> a
mogatlana	m O x a tl> a n a
mogatsaaka	m O x a ts> a k> a
mogatsaake	m O x a ts> a k> E
mogatsa	m O x a ts> a
mogatse	m O x a ts> E
mogatso	m O x a ts> O
mogobadi	m O x O b a d i
mogobagoba	m O x O b a x O b a
mogobe	m O x O b E
mogodisi	m O x O d i s i
mogodu	m O x O d u
mogodung	m O x O d u N
mogodungwana	m O x O d u N w a n a
mogoga	m O x O x a
mogogi	m O x O x i
mogogoro	m O x O x O r O
mogogorong	m O x O x O r O N
mogokaganyi	m O x O k> a x a J i
mogolegwa	m O x O l E x w a
mogolodi	m O x O l O d i
mogoloe	m O x O l O E
mogologolo	m O x O l O x O l O
mogolole	m O x O l O l E
mogolo	m O x O l O
mogolong	m O x O l O N
mogolowe	m O x O l O w E
mogolwane	m O x O l w a n E
mogoma	m O x O m a
mogomotsi	m O x O m O ts> i
mogopolo	m O x O p> O l O
mogopolong	m O x O p> O l O N
mogošane	m O x O S a n E
mogoso	m O x O s O
mogote	m O x O t> E
mogoteng	m O x O t> E N
mogotlha	m O x O tlh a
mogwang	m O x w a N
mogwanto	m O x w a n t> O
mogwantong	m O x w a n t> O N
mogwebi	m O x w E b i
mogwebing	m O x w E b i N
mogwere	m O x w E r E
mohibidu	m O h i b i d u
mohiri	m O h i r i
mohiring	m O h i r i N
mohubu	m O h u b u
mohumagadi	m O h u m a x a d i
mohumagatsana	m O h u m a x a ts> a n a
mohumanegi	m O h u m a n E x i
mohumi	m O h u m i
mohuta	m O h u t> a
moikani	m O i k> a n i
moikuedi	m O i k> u E d i
moikueding	m O i k> u E d i N
moila	m O i l a
moimana	m O i m a n a
moiphemedi	m O i ph E m E d i
moiphemeding	m O i ph E m E d i N
moipolai	m O i p> O l a i
moithuting	m O i th u t> i N
moitseanape	m O i ts> E a n a p> E
moitshodi	m O i tsh O d i
mojaboswa	m O d0Z a b O s w a
mojadi	m O d0Z a d i
mojako	m O d0Z a k> O
mojakong	m O d0Z a k> O N
moja	m O d0Z a
mojamorago	m O d0Z a m O r a x O
mojanala	m O d0Z a n a l a
mojeng	m O d0Z E N
mojo	m O d0Z O
mokaedimogolo	m O k> a E d i m O x O l O
mokaedi	m O k> a E d i
mokaeding	m O k> a E d i N
mokaloba	m O k> a l O b a
mokalobe	m O k> a l O b E
mokana	m O k> a n a
mokapelo	m O k> a p> E l O
mokapotene	m O k> a p> O t> E n E
mokaragana	m O k> a r a x a n a
mokatisi	m O k> a t> i s i
mokato	m O k> a t> O
mokaulengwe	m O k> a u l E N w E
mokawa	m O k> a w a
mokawana	m O k> a w a n a
mokeresete	m O k> E r E s E t> E
moketekete	m O k> E t> E k> E t> E
mokete	m O k> E t> E
moketeng	m O k> E t> E N
mokgabiso	m O kx a b i s O
mokgabo	m O kx a b O
mokgadi	m O kx a d i
mokgalo	m O kx a l O
mokgaoganyi	m O kx a O x a J i
mokgaphe	m O kx a ph E
mokgapheng	m O kx a ph E N
mokgatho	m O kx a th O
mokgatlhong	m O kx a tlh O N
mokgele	m O kx E l E
mokgeleng	m O kx E l E N
mokgobe	m O kx O b E
mokgokolosa	m O kx O k> O l O s a
mokgokoloseng	m O kx O k> O l O s E N
mokgona	m O kx O n a
mokgoro	m O kx O r O
mokgosi	m O kx O s i
mokgothi	m O kx O th i
mokgotledi	m O kx O tl> E d i
mokgotlhwane	m O kx O tlh w a n E
mokgwa	m O kx w a
mokgwaro	m O kx w a r O
mokgwasa	m O kx w a s a
mokgweetsi	m O kx w E E ts> i
mokgweleo	m O kx w E l E O
mokgweleong	m O kx w E l E O N
mokgweng	m O kx w E N
mokhanselara	m O kh a n s E l a r a
mokhino	m O kh i n O
mokhura	m O kh u r a
mokhutshwane	m O kh u tsh w a n E
mokibo	m O k> i b O
mokima	m O k> i m a
mokoa	m O k> O a
mokokotlo	m O k> O k> O tl> O
mokolela	m O k> O l E l a
mokolokong	m O k> O l O k> O N
mokomišinara	m O k> O m i S i n a r a
moko	m O k> O
mokone	m O k> O n E
mokong	m O k> O N
mokonteraka	m O k> O n t> E r a k> a
mokopi	m O k> O p> i
mokoping	m O k> O p> i N
mokoro	m O k> O r O
mokorong	m O k> O r O N
mokoto	m O k> O t> O
mokwadi	m O k> w a d i
mokwadisi	m O k> w a d i s i
mokwadising	m O k> w a d i s i N
mokwaledi	m O k> w a l E d i
mokwalo	m O k> w a l O
mokwalong	m O k> w a l O N
mokwatla	m O k> w a tl> a
mokwatleng	m O k> w a tl> E N
molaetsamogolo	m O l a E ts> a m O x O l O
molaetsa	m O l a E ts> a
molaetseng	m O l a E ts> E N
molagare	m O l a x a r E
molala	m O l a l a
molaleng	m O l a l E N
mola	m O l a
molamu	m O l a m u
molaodi	m O l a O d i
molaoding	m O l a O d i N
molaomogolo	m O l a O m O x O l O
molao	m O l a O
molaong	m O l a O N
molaotheo	m O l a O th E O
molaotheong	m O l a O th E O N
molaotlhomo	m O l a O tlh O m O
molaotlhomong	m O l a O tlh O m O N
molapo	m O l a p> O
molapong	m O l a p> O N
molatlhegi	m O l a tlh E x i
molatofadiwa	m O l a t> O f a d i w a
molato	m O l a t> O
molatong	m O l a t> O N
molatswana	m O l a ts> w a n a
molatswaneng	m O l a ts> w a n E N
molawana	m O l a w a n a
molawaneng	m O l a w a n E N
molebeledi	m O l E b E l E d i
molebo	m O l E b O
moleele	m O l E E l E
molekaneng	m O l E k> a n E N
molekanyetsi	m O l E k> a J E ts> i
molekodi	m O l E k> O d i
molelo	m O l E l O
molelong	m O l E l O N
molelwane	m O l E l w a n E
molelwaneng	m O l E l w a n E N
molema	m O l E m a
molemeng	m O l E m E N
molemi	m O l E m i
moleming	m O l E m i N
molemirui	m O l E m i r u i
molemiruing	m O l E m i r u i N
molemisi	m O l E m i s i
molemo	m O l E m O
molemong	m O l E m O N
moleng	m O l E N
moleofi	m O l E O f i
moleta	m O l E t> a
moleteng	m O l E t> E N
moletlo	m O l E tl> O
moletlong	m O l E tl> O N
moletsaphala	m O l E ts> a ph a l a
moletsi	m O l E ts> i
molodi	m O l O d i
moloi	m O l O i
molokololo	m O l O k> O l O l O
moloko	m O l O k> O
molomong	m O l O m O N
molongwana	m O l O N w a n a
molora	m O l O r a
moloreng	m O l O r E N
molotlhanyi	m O l O tlh a J i
molotsana	m O l O ts> a n a
molwantshi	m O l w a n tsh i
molwantshiwa	m O l w a n tsh i w a
molwetse	m O l w E ts> E
molwetseng	m O l w E ts> E N
momagana	m O m a x a n a
momaganeng	m O m a x a n E N
momagano	m O m a x a n O
momaganong	m O m a x a n O N
momagantsweng	m O m a x a n ts> w E N
momaganya	m O m a x a J a
moma	m O m a
momela	m O m E l a
mometso	m O m E ts> O
mometsong	m O m E ts> O N
momo	m O m O
monagano	m O n a x a n O
monaganong	m O n a x a n O N
monakaladi	m O n a k> a l a d i
monakalading	m O n a k> a l a d i N
mona	m O n a
monape	m O n a p> E
monate	m O n a t> E
monateng	m O n a t> E N
monawa	m O n a w a
monetetshi	m O n E t> E tsh i
mongato	m O N a t> O
mong	m O N
mongongoregi	m O N O N O r E x i
mongwe	m O N w E
mongweng	m O N w E N
monkgo	m O n kx O
monnamogolo	m O n n a m O x O l O
monnanyana	m O n n a J a n a
monnao	m O n n a O
monnasetilo	m O n n a s E t> i l O
monnawe	m O n n a w E
monneng	m O n n E N
monni	m O n n i
monning	m O n n i N
monnye	m O n J E
monokela	m O n O k> E l a
monongwaga	m O n O N w a x a
monono	m O n O n O
monontsha	m O n O n tsh a
monosi	m O n O s i
montle	m O n tl> E
montsho	m O n tsh O
montsi	m O n ts> i
monwana	m O n w a n a
monwaneng	m O n w a n E N
monwi	m O n w i
monyadiwa	m O J a d i w a
monyela	m O J E l a
monyelang	m O J E l a N
monyelwa	m O J E l w a
monyelwang	m O J E l w a N
monyenyo	m O J E J O
monyo	m O J O
mookameding	m O O k> a m E d i N
mookana	m O O k> a n a
mookodi	m O O k> O d i
moolwana	m O O l w a n a
moono	m O O n O
moopedi	m O O p> E d i
moopedisi	m O O p> E d i s i
mopagami	m O p> a x a m i
mopakakgwebo	m O p> a k> a kx w E b O
mopalami	m O p> a l a m i
mopeleto	m O p> E l E t> O
mophasalatsi	m O ph a s a l a ts> i
mophato	m O ph a t> O
mophatong	m O ph a t> O N
moporofesa	m O p> O r O f E s a
moporofesara	m O p> O r O f E s a r a
mopotokisi	m O p> O t> O k> i s i
moputso	m O p> u ts> O
moputsong	m O p> u ts> O N
moraba	m O r a b a
morabaraba	m O r a b a r a b a
morabeng	m O r a b E N
moradisi	m O r a d i s i
morafeng	m O r a f E N
moraga	m O r a x a
morago	m O r a x O
moragonyana	m O r a x O J a n a
moraka	m O r a k> a
morakeng	m O r a k> E N
morakile	m O r a k> i l E
moranodi	m O r a n O d i
moranoledi	m O r a n O l E d i
morara	m O r a r a
moratho	m O r a th O
moratiwa	m O r a t> i w a
moratwe	m O r a t> w E
morebodi	m O r E b O d i
moreetsi	m O r E E ts> i
moreketoro	m O r E k> E t> O r O
moreki	m O r E k> i
morekisi	m O r E k> i s i
moremi	m O r E m i
moreneng	m O r E n E N
moreromogolo	m O r E r O m O x O l O
morero	m O r E r O
morerong	m O r E r O N
morethetho	m O r E th E th O
moretlwa	m O r E tl> w a
moretologa	m O r E t> O l O x a
moribo	m O r i b O
moriri	m O r i r i
moriti	m O r i t> i
morobi	m O r O b i
morogo	m O r O x O
moroko	m O r O k> O
morokotso	m O r O k> O ts> O
morokotsong	m O r O k> O ts> O N
moromiwa	m O r O m i w a
morongwa	m O r O N w a
moropa	m O r O p> a
mororo	m O r O r O
morotloetsi	m O r O tl> O E ts> i
moroto	m O r O t> O
moruakgomo	m O r u a kx O m O
moruanyi	m O r u a J i
moruanying	m O r u a J i N
morudu	m O r u d u
morui	m O r u i
morula	m O r u l a
moruleng	m O r u l E N
morumo	m O r u m O
morunikakaretso	m O r u n i k> a k> a r E ts> O
moruni	m O r u n i
moruo	m O r u O
morutabana	m O r u t> a b a n a
morutegi	m O r u t> E x i
moruti	m O r u t> i
morutisi	m O r u t> i s i
morutsheng	m O r u tsh E N
morutwana	m O r u t> w a n a
morwaagwe	m O r w a x w E
morwaaka	m O r w a k> a
morwaarona	m O r w a r O n a
morwaarra	m O r w a r r a
morwadiabone	m O r w a d i a b O n E
morwadiaka	m O r w a d i a k> a
morwadiake	m O r w a d i a k> E
morwadie	m O r w a d i E
morwadi	m O r w a d i
morwadio	m O r w a d i O
morwae	m O r w a E
morwalela	m O r w a l E l a
morwalo	m O r w a l O
morwalong	m O r w a l O N
morwa	m O r w a
morwao	m O r w a O
morwarraago	m O r w a r r a x O
morwarraagwe	m O r w a r r a x w E
morwarra	m O r w a r r a
morwarre	m O r w a r r E
mosadimogolo	m O s a d i m O x O l O
mosadi	m O s a d i
mosading	m O s a d i N
mosaekholoji	m O s a E kh O l O d0Z i
mosakong	m O s a k> O N
mosamarea	m O s a m a r E a
mosamo	m O s a m O
mosamong	m O s a m O N
moša	m O S a
mosarasarane	m O s a r a s a r a n E
mosego	m O s E x O
moseja	m O s E d0Z a
mosekaseki	m O s E k> a s E k> i
mosekisi	m O s E k> i s i
mosele	m O s E l E
moseleng	m O s E l E N
moselo	m O s E l O
mosemeng	m O s E m E N
moše	m O S E
moseneke	m O s E n E k> E
mosenyi	m O s E J i
mosepedi	m O s E p> E d i
mosepele	m O s E p> E l E
mosesane	m O s E s a n E
moseti	m O s E t> i
mosetsana	m O s E ts> a n a
mosetsaneng	m O s E ts> a n E N
mosetsanyana	m O s E ts> a J a n a
mosiane	m O s i a n E
mosibudi	m O s i b u d i
mosidi	m O s i d i
mosifa	m O s i f a
mosima	m O s i m a
mosimane	m O s i m a n E
mosimanyana	m O s i m a J a n a
mosime	m O s i m E
mosimeng	m O s i m E N
mosimolodi	m O s i m O l O d i
mosi	m O s i
mosing	m O s i N
mosireletsi	m O s i r E l E ts> i
mosireletsing	m O s i r E l E ts> i N
mositlha	m O s i tlh a
mosito	m O s i t> O
mosoko	m O s O k> O
mosola	m O s O l a
moso	m O s O
mosong	m O s O N
mosotlegi	m O s O tl> E x i
mosotli	m O s O tl> i
mosupatsela	m O s u p> a ts> E l a
mosupi	m O s u p> i
mosupiwa	m O s u p> i w a
moswagadi	m O s w a x a d i
moswang	m O s w a N
moswelwa	m O s w E l w a
mosweu	m O s w E u
moswi	m O s w i
motabogi	m O t> a b O x i
motaki	m O t> a k> i
motako	m O t> a k> O
motala	m O t> a l a
motantsho	m O t> a n tsh O
motantshong	m O t> a n tsh O N
motaung	m O t> a u N
motekwane	m O t> E k> w a n E
moterama	m O t> E r a m a
moteteselong	m O t> E t> E s E l O N
mothaka	m O th a k> a
mothakga	m O th a kx a
mothale	m O th a l E
mothaleng	m O th a l E N
mothalo	m O th a l O
mothalong	m O th a l O N
mothamo	m O th a m O
mothapi	m O th a p> i
mothaping	m O th a p> i N
mothapiwa	m O th a p> i w a
mothati	m O th a t> i
mothating	m O th a t> i N
mothelesi	m O th E l E s i
mothelesing	m O th E l E s i N
motheo	m O th E O
motheong	m O th E O N
mothofatso	m O th O f a ts> O
mothomolaong	m O th O m O l a O N
mothong	m O th O N
mothonyana	m O th O J a n a
mothopi	m O th O p> i
mothudi	m O th u d i
mothusi	m O th u s i
motimedi	m O t> i m E d i
motitiedi	m O t> i t> i E d i
motlae	m O tl> a E
motlakase	m O tl> a k> a s E
motlakaseng	m O tl> a k> a s E N
motlamedi	m O tl> a m E d i
motlameding	m O tl> a m E d i N
motlanyi	m O tl> a J i
motlapa	m O tl> a p> a
motlatla	m O tl> a tl> a
motlatsamogokgo	m O tl> a ts> a m O x O kx O
motlatsamokaedi	m O tl> a ts> a m O k> a E d i
motlatsa	m O tl> a ts> a
motlatsatona	m O tl> a ts> a t> O n a
motlele	m O tl> E l E
motlhaba	m O tlh a b a
motlhadiwa	m O tlh a d i w a
motlhagare	m O tlh a x a r E
motlhagareng	m O tlh a x a r E N
motlhagisi	m O tlh a x i s i
motlhala	m O tlh a l a
motlhaleng	m O tlh a l E N
motlhalerwa	m O tlh a l E r w a
motlhami	m O tlh a m i
motlha	m O tlh a
motlhana	m O tlh a n a
motlhang	m O tlh a N
motlhanka	m O tlh a n k> a
motlhankedimogolo	m O tlh a n k> E d i m O x O l O
motlhankedi	m O tlh a n k> E d i
motlhankeding	m O tlh a n k> E d i N
motlhaope	m O tlh a O p> E
motlhape	m O tlh a p> E
motlhapeng	m O tlh a p> E N
motlhapi	m O tlh a p> i
motlhapisa	m O tlh a p> i s a
motlhatlhami	m O tlh a tlh a m i
motlhatlheledi	m O tlh a tlh E l E d i
motlhatlhobi	m O tlh a tlh O b i
motlhatlhobing	m O tlh a tlh O b i N
motlhodi	m O tlh O d i
motlhofo	m O tlh O f O
motlhokaina	m O tlh O k> a i n a
motlhoki	m O tlh O k> i
motlhokomedi	m O tlh O k> O m E d i
motlholagadi	m O tlh O l a x a d i
motlhologadi	m O tlh O l O x a d i
motlholo	m O tlh O l O
motlhomamisi	m O tlh O m a m i s i
motlhomedi	m O tlh O m E d i
motlho	m O tlh O
motlhong	m O tlh O N
motlhophi	m O tlh O ph i
motlhophiwa	m O tlh O ph i w a
motlhotlheletsi	m O tlh O tlh E l E ts> i
motlhotlhomisi	m O tlh O tlh O m i s i
motlogolo	m O tl> O x O l O
motlokolo	m O tl> O k> O l O
motlotlegi	m O tl> O tl> E x i
motlotlo	m O tl> O tl> O
motlotlong	m O tl> O tl> O N
motloutlo	m O tl> O u tl> O
motogo	m O t> O x O
motokwane	m O t> O k> w a n E
motoloki	m O t> O l O k> i
motomong	m O t> O m O N
motona	m O t> O n a
motopo	m O t> O p> O
motsading	m O ts> a d i N
motsamai	m O ts> a m a i
motsamaisikakaretso	m O ts> a m a i s i k> a k> a r E ts> O
motsamaising	m O ts> a m a i s i N
motsamao	m O ts> a m a O
motsamaong	m O ts> a m a O N
motsana	m O ts> a n a
motsaneng	m O ts> a n E N
motsatsi	m O ts> a ts> i
motsayakarolo	m O ts> a j a k> a r O l O
motsei	m O ts> E i
motseleganyi	m O ts> E l E x a J i
motseletsele	m O ts> E l E ts> E l E
motseletseleng	m O ts> E l E ts> E l E N
motse	m O ts> E
motsenagare	m O ts> E n a x a r E
motsena	m O ts> E n a
motseneledi	m O ts> E n E l E d i
motseng	m O ts> E N
motsereganyi	m O ts> E r E x a J i
motsesetoropo	m O ts> E s E t> O r O p> O
motsesetoropong	m O ts> E s E t> O r O p> O N
motshabi	m O tsh a b i
motshameki	m O tsh a m E k> i
motshameko	m O tsh a m E k> O
motshamekong	m O tsh a m E k> O N
motshegare	m O tsh E x a r E
motshegareng	m O tsh E x a r E N
motshegetsi	m O tsh E x E ts> i
motshelo	m O tsh E l O
motsheo	m O tsh E O
motshetelo	m O tsh E t> E l O
motšhetšhedima	m O tSh E tSh E d i m a
motšhine	m O tSh i n E
motšhineng	m O tSh i n E N
motšhini	m O tSh i n i
motšhining	m O tSh i n i N
motshodi	m O tsh O d i
motsholamatlotlo	m O tsh O l a m a tl> O tl> O
motšhotšhisi	m O tSh O tSh i s i
motšhotšho	m O tSh O tSh O
motshwaedi	m O tsh w a E d i
motshwanedi	m O tsh w a n E d i
motshwaramarapo	m O tsh w a r a m a r a p> O
motshwareledi	m O tsh w a r E l E d i
motsietsi	m O ts> i E ts> i
motsi	m O ts> i
motsing	m O ts> i N
motsofe	m O ts> O f E
motsofeng	m O ts> O f E N
motsoko	m O ts> O k> O
motsopodia	m O ts> O p> O d i a
motsotso	m O ts> O ts> O
motsotswana	m O ts> O ts> w a n a
motswako	m O ts> w a k> O
motswakong	m O ts> w a k> O N
motswakwa	m O ts> w a k> w a
motswantle	m O ts> w a n tl> E
motswasetlhabelo	m O ts> w a s E tlh a b E l O
motswedi	m O ts> w E d i
motsweding	m O ts> w E d i N
motswere	m O ts> w E r E
motswi	m O ts> w i
motu	m O t> u
mouta	m O u t> a
mowafala	m O w a f a l a
mowafalo	m O w a f a l O
moweng	m O w E N
moya	m O j a
mpaananeng	m p> a n a n E N
mpalela	m p> a l E l a
mpaletse	m p> a l E ts> E
mpa	m p> a
mpampetsa	m p> a m p> E ts> a
mpampetse	m p> a m p> E ts> E
mpana	m p> a n a
mpaola	m p> a O l a
mpateletsa	m p> a t> E l E ts> a
mpatla	m p> a tl> a
mpeile	m p> E i l E
mpelaetsa	m p> E l a E ts> a
mpe	m p> E
mpeng	m p> E N
mpha	m ph a
mphe	m ph E
mphenya	m ph E J a
mpherosa	m ph E r O s a
mphimole	m ph i m O l E
mphitlhela	m ph i tlh E l a
mpho	m ph O
mphuagantse	m ph u a x a n ts> E
mpiditse	m p> i d i ts> E
mpiletsa	m p> i l E ts> a
mpiletse	m p> i l E ts> E
mpimpi	m p> i m p> i
mpipela	m p> i p> E l a
mpitsa	m p> i ts> a
mpitsang	m p> i ts> a N
mpogisetsang	m p> O x i s E ts> a N
mpolaele	m p> O l a E l E
mpolaisang	m p> O l a i s a N
mpolaya	m p> O l a j a
mpolaye	m p> O l a j E
mpolelela	m p> O l E l E l a
mpolelelang	m p> O l E l E l a N
mpolelele	m p> O l E l E l E
mpoleletse	m p> O l E l E ts> E
mpolokeng	m p> O l O k> E N
mpona	m p> O n a
mpone	m p> O n E
mponeng	m p> O n E N
mpontsha	m p> O n tsh a
mpotsa	m p> O ts> a
mpotse	m p> O ts> E
mpuru	m p> u r u
mutlwane	m u tl> w a n E
naane	n a n E
nabo	n a b O
nae	n a E
naeterojene	n a E t> E r O d0Z E n E
nagagodimo	n a x a x O d i m O
nagagodimong	n a x a x O d i m O N
nagalegaeng	n a x a l E x a E N
nagana	n a x a n a
naganang	n a x a n a N
naganela	n a x a n E l a
nagatlase	n a x a tl> a s E
nageng	n a x E N
najo	n a d0Z O
naka	n a k> a
nakedi	n a k> E d i
nakeng	n a k> E N
nako	n a k> O
nakong	n a k> O N
nakonyana	n a k> O J a n a
nakonyaneng	n a k> O J a n E N
nakwana	n a k> w a n a
nala	n a l a
naledi	n a l E d i
naletsana	n a l E ts> a n a
nalo	n a l O
namagadi	n a m a x a d i
nama	n a m a
namana	n a m a n a
namane	n a m a n E
namang	n a m a N
namanyane	n a m a J a n E
namatsha	n a m a tsh a
namatshang	n a m a tsh a N
namatshega	n a m a tsh E x a
namatshego	n a m a tsh E x O
namela	n a m E l a
nameng	n a m E N
nametsa	n a m E ts> a
nametsang	n a m E ts> a N
nametshang	n a m E tsh a N
nametshego	n a m E tsh E x O
namile	n a m i l E
namileng	n a m i l E N
namola	n a m O l a
namoleng	n a m O l E N
namolo	n a m O l O
namoneite	n a m O n E i t> E
namune	n a m u n E
nana	n a n a
nang	n a N
nanoga	n a n O x a
nao	n a O
nare	n a r E
naso	n a s O
natefang	n a t> E f a N
natefelwa	n a t> E f E l w a
natefelwe	n a t> E f E l w E
natefetswe	n a t> E f E ts> w E
natefisa	n a t> E f i s a
nathela	n a th E l a
natlafatsa	n a tl> a f a ts> a
natla	n a tl> a
natso	n a ts> O
nawa	n a w a
naya	n a j a
nayang	n a j a N
nayo	n a j O
neelana	n E E l a n a
neelanang	n E E l a n a N
neela	n E E l a
neelane	n E E l a n E
neelaneng	n E E l a n E N
neelang	n E E l a N
neelano	n E E l a n O
neele	n E E l E
neeleng	n E E l E N
neeletsana	n E E l E ts> a n a
neeletsano	n E E l E ts> a n O
neeletsanong	n E E l E ts> a n O N
neeletsanyo	n E E l E ts> a J O
neelo	n E E l O
neelong	n E E l O N
neelwa	n E E l w a
neelwang	n E E l w a N
neelwe	n E E l w E
neetse	n E E ts> E
neetseng	n E E ts> E N
neetswe	n E E ts> w E
neetsweng	n E E ts> w E N
neile	n E i l E
neileng	n E i l E N
neilwe	n E i l w E
neilweng	n E i l w E N
neiwa	n E i w a
nela	n E l a
nelang	n E l a N
nele	n E l E
nelwa	n E l w a
nemeru	n E m E r u
ne	n E
nene	n E n E
neng	n E N
nepagala	n E p> a x a l a
nepagalang	n E p> a x a l a N
nepagalo	n E p> a x a l O
nepagalong	n E p> a x a l O N
nepagatseng	n E p> a x a ts> E N
nepagetse	n E p> a x E ts> E
nepagetseng	n E p> a x E ts> E N
nepa	n E p> a
nepile	n E p> i l E
nepileng	n E p> i l E N
nepo	n E p> O
nesa	n E s a
nesetsa	n E s E ts> a
netefaditse	n E t> E f a d i ts> E
netefaditswe	n E t> E f a d i ts> w E
netefaditsweng	n E t> E f a d i ts> w E N
